ID,YEAR 2016-17,YEAR 2017-18,YEAR 2018-19,201617,201718,201819,, Total per museum 
Abbeydale,-,-,2018-19,,,18,, 18 
Abbot Hall,2016-17,2017-18,2018-19,275,396,5,, 676 
Aldershot Military Museum,-,2017-18,2018-19,,7,199,, 206 
American Museum,2016-17,-,-,1020,,,," 1,020 "
Amersham Museum,-,2017-18,-,,394,,, 394 
Andover Museum,-,2017-18,2018-19,,104,345,, 449 
Ashmolean Museum,2016-17,2017-18,-,322,394,,, 716 
Aston Hall,2016-17,-,-,103,,,, 103 
Ayscoughfee Hall Museum & Gardens,2016-17,-,-,20,,,, 20 
Basing House,-,2017-18,-,,7,,, 7 
Bassetlaw Museum,2016-17,2017-18,-,85,199,,, 284 
Beamish the Living Museum of the North,-,2017-18,-,,455,,, 455 
Beckford's Tower,2016-17,-,-,9,,,, 9 
Berwick Museum,2016-17,2017-18,2018-19,569,19,229,, 817 
Birmingham Museums Trust,2016-17,2017-18,2018-19,406,1201,1196,," 2,803 "
Black Country Living Museum,-,-,2018-19,,,1540,," 1,540 "
"Blackwell, The Arts & Crafts House",2016-17,2017-18,2018-19,1623,1270,460,," 3,353 "
Blakesley Hall,2016-17,-,-,60,,,, 60 
Bowes Museum,2016-17,2017-18,2018-19,318,88,401,, 807 
Brading Roman Villa,-,-,2018-19,,,1,, 1 
Brighton Royal Pavillion & Museums,2016-17,2017-18,2018-19,390,415,312,," 1,117 "
Bristol Culture,-,2017-18,-,,4686,,," 4,686 "
British Horological Institute Museum,-,2017-18,-,,381,,, 381 
British Motor Museum,-,-,2018-19,,,419,, 419 
Brontë Parsonage Museum,-,-,2018-19,,,300,, 300 
Bucks County Museum Trust,-,-,2018-19,,,88,, 88 
Bursledon Windmill,-,-,2018-19,,,49,, 49 
Burwell Museum and Windmill,-,-,2018-19,,,385,, 385 
Buxton Museum & Art Gallery,-,2017-18,-,,9,,, 9 
Caerbarfon Castle,-,2017-18,-,,353,,, 353 
Cannon Hall Museum,2016-17,2017-18,2018-19,377,758,380,," 1,515 "
Canterbury Museums,2016-17,-,-,18,,,, 18 
Captain Cook Birthplace Museum,2016-17,2017-18,2018-19,164,228,26,, 418 
Carlisle Cathedral,-,-,2018-19,,,13,, 13 
Castleford Museum,2016-17,2017-18,2018-19,133,400,77,, 610 
