AA_NAME,MM_NAME,MM_ID,SIM,PERFECT_MATCH,METHOD,RANK,HIGH_SIM,CORRECT_MATCH,NOTES
Abbeydale,Abbeydale Industrial Hamlet,mm.domus.YH023,0.78,FALSE,jw,1,FALSE,T,
Abbeydale,Gibberd Gallery,mm.wiki.127,0.75,FALSE,jw,2,FALSE,,
Abbeydale,Raby Castle,mm.hha.148,0.74,FALSE,jw,3,FALSE,,
Abbeydale,Arley Hall,mm.hha.131,0.5,FALSE,lv,1,FALSE,,
Abbeydale,Gibberd Gallery,mm.wiki.127,0.47,FALSE,lv,2,FALSE,,
Abbeydale,Byland Abbey,mm.ace.1226,0.76,FALSE,qgram,2.5,FALSE,,
Abbeydale,Calke Abbey,mm.domus.EM094,0.8,FALSE,qgram,1,FALSE,,
Abbeydale,Hailes Abbey,mm.domus.SW225,0.76,FALSE,qgram,2.5,FALSE,,
Abbot Hall,Abbot Hall Art Gallery,mm.domus.NW025,0.82,FALSE,jw,1.5,FALSE,T,
Abbot Hall,Aston Hall,mm.domus.WM065,0.82,FALSE,jw,1.5,FALSE,,
Abbot Hall,Arbury Hall,mm.hha.112,0.64,FALSE,lv,3,FALSE,,
Abbot Hall,Aston Hall,mm.domus.WM065,0.7,FALSE,lv,1,FALSE,,
Abbot Hall,Catton Hall,mm.hha.085,0.64,FALSE,lv,3,FALSE,,
Abbot Hall,Haddon Hall,mm.hha.086,0.64,FALSE,lv,3,FALSE,,
Abbot Hall,Aston Hall,mm.domus.WM065,0.8,FALSE,qgram,1,FALSE,,
Abbot Hall,Catton Hall,mm.hha.085,0.76,FALSE,qgram,2.5,FALSE,,
Abbot Hall,Heaton Hall,mm.domus.NW011,0.76,FALSE,qgram,2.5,FALSE,,
Aldershot Military Museum,Aldershot Military Museum,mm.domus.SE169,1,TRUE,jw,1,TRUE,,
Aldershot Military Museum,Aldershot Military Museum,mm.domus.SE169,1,TRUE,lv,1,TRUE,,
Aldershot Military Museum,Aldershot Military Museum,mm.domus.SE169,1,TRUE,qgram,1,TRUE,,
American Museum,American Museum,mm.misc.084,1,TRUE,jw,1,TRUE,,
American Museum,American Museum,mm.misc.084,1,TRUE,lv,1,TRUE,,
American Museum,American Museum,mm.misc.084,1,TRUE,qgram,1,TRUE,,
Amersham Museum,Amersham Museum,mm.domus.SE578,1,TRUE,jw,1,TRUE,,
Amersham Museum,Amersham Museum,mm.domus.SE578,1,TRUE,lv,1,TRUE,,
Amersham Museum,Amersham Museum,mm.domus.SE578,1,TRUE,qgram,1,TRUE,,
Andover Museum,Andover Museum,mm.domus.SE178,1,TRUE,jw,1,TRUE,,
Andover Museum,Andover Museum,mm.domus.SE178,1,TRUE,lv,1,TRUE,,
Andover Museum,Andover Museum,mm.domus.SE178,1,TRUE,qgram,1,TRUE,,
Ashmolean Museum,American Museum,mm.misc.084,0.85,FALSE,jw,1,FALSE,,
