GSS	wimd_2014_dec	wimd_2014_dec_fac	income_dec	income_dec_fac	employment_dec	employment_dec_fac	health_dec	health_dec_fac	education_dec	education_dec_fac	access_to_services_dec	access_to_services_dec_fac	community_safety_dec	community_safety_dec_fac	physical_environment_dec	physical_environment_dec_fac	housing_dec	housing_dec_fac
W01000001	5	dec05	5	dec05	5	dec05	7	dec07	5	dec05	2	dec02	5	dec05	10	dec10-lowd	4	dec04
W01000002	7	dec07	6	dec06	6	dec06	8	dec08	7	dec07	3	dec03	9	dec09	9	dec09	2	dec02
W01000003	3	dec03	3	dec03	4	dec04	3	dec03	4	dec04	4	dec04	3	dec03	8	dec08	2	dec02
W01000004	6	dec06	6	dec06	5	dec05	7	dec07	7	dec07	2	dec02	7	dec07	10	dec10-lowd	6	dec06
W01000005	7	dec07	6	dec06	7	dec07	9	dec09	6	dec06	5	dec05	6	dec06	5	dec05	3	dec03
W01000006	5	dec05	6	dec06	5	dec05	7	dec07	8	dec08	1	dec01-highd	9	dec09	9	dec09	3	dec03
W01000007	6	dec06	6	dec06	6	dec06	6	dec06	8	dec08	1	dec01-highd	10	dec10-lowd	5	dec05	2	dec02
W01000008	10	dec10-lowd	8	dec08	9	dec09	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	9	dec09	8	dec08	5	dec05
W01000009	4	dec04	4	dec04	4	dec04	5	dec05	6	dec06	2	dec02	7	dec07	8	dec08	3	dec03
W01000010	8	dec08	7	dec07	7	dec07	9	dec09	8	dec08	3	dec03	9	dec09	10	dec10-lowd	7	dec07
W01000011	9	dec09	9	dec09	9	dec09	10	dec10-lowd	7	dec07	9	dec09	4	dec04	7	dec07	2	dec02
W01000012	8	dec08	6	dec06	6	dec06	8	dec08	10	dec10-lowd	7	dec07	3	dec03	7	dec07	9	dec09
W01000013	9	dec09	10	dec10-lowd	9	dec09	9	dec09	9	dec09	2	dec02	10	dec10-lowd	9	dec09	8	dec08
W01000014	6	dec06	5	dec05	4	dec04	6	dec06	8	dec08	6	dec06	4	dec04	6	dec06	7	dec07
W01000015	10	dec10-lowd	8	dec08	9	dec09	6	dec06	10	dec10-lowd	8	dec08	9	dec09	8	dec08	9	dec09
W01000016	2	dec02	1	dec01-highd	2	dec02	2	dec02	3	dec03	8	dec08	1	dec01-highd	5	dec05	2	dec02
W01000017	2	dec02	2	dec02	2	dec02	3	dec03	3	dec03	4	dec04	2	dec02	4	dec04	4	dec04
