GSS	LAName	POP_SAPE2014	LSOA_Area_SQM	Decile	Decile_fac	IncRank_dec	IncRank_dec_fac	EmpRank_dec	EmpRank_dec_fac	HlthRank_dec	HlthRank_dec_fac	EduRank_dec	EduRank_dec_fac	CrimeRank_dec	CrimeRank_dec_fac	HouseRank_dec	HouseRank_dec_fac	GAccRank_dec	GAccRank_dec_fac
S01006506	Aberdeen City	904.0	4388802.1222	8.0	dec08	7	dec07	7	dec07	8	dec08	8	dec08	8	dec08	5	dec05	8	dec08
S01006507	Aberdeen City	830.0	221746.838686	7.0	dec07	7	dec07	7	dec07	8	dec08	6	dec06	10	dec10-lowd	5	dec05	4	dec04
S01006508	Aberdeen City	694.0	270194.753307	10.0	dec10-lowd	8	dec08	9	dec09	9	dec09	9	dec09	9	dec09	8	dec08	6	dec06
S01006509	Aberdeen City	573.0	96254.2578405	8.0	dec08	8	dec08	7	dec07	6	dec06	8	dec08	10	dec10-lowd	7	dec07	7	dec07
S01006510	Aberdeen City	676.0	180076.576244	6.0	dec06	5	dec05	6	dec06	5	dec05	6	dec06	6	dec06	6	dec06	9	dec09
S01006511	Aberdeen City	781.0	400488.035798	10.0	dec10-lowd	9	dec09	9	dec09	8	dec08	8	dec08	10	dec10-lowd	9	dec09	9	dec09
S01006512	Aberdeen City	528.0	13996149.9027	9.0	dec09	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	9	dec09	10	dec10-lowd	7	dec07	1	dec01-highd
S01006513	Aberdeen City	697.0	300877.295985	9.0	dec09	9	dec09	9	dec09	7	dec07	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	3	dec03
S01006514	Aberdeen City	1131.0	1877298.25655	10.0	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	3	dec03
S01006515	Aberdeen City	791.0	5542698.36437	10.0	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	9	dec09	9	dec09	1	dec01-highd
S01006516	Aberdeen City	572.0	1593427.88886	9.0	dec09	9	dec09	9	dec09	10	dec10-lowd	10	dec10-lowd	8	dec08	10	dec10-lowd	2	dec02
S01006517	Aberdeen City	1038.0	10444535.3152	9.0	dec09	9	dec09	9	dec09	9	dec09	10	dec10-lowd	7	dec07	9	dec09	2	dec02
S01006518	Aberdeen City	671.0	519229.291155	10.0	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	2	dec02
S01006519	Aberdeen City	904.0	304024.320496	10.0	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	2	dec02
S01006520	Aberdeen City	783.0	200643.601782	10.0	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	1	dec01-highd
S01006521	Aberdeen City	772.0	1473823.09036	10.0	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	8	dec08	10	dec10-lowd	2	dec02
S01006522	Aberdeen City	628.0	378701.906321	10.0	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	3	dec03
S01006523	Aberdeen City	942.0	287540.225697	10.0	dec10-lowd	9	dec09	10	dec10-lowd	8	dec08	10	dec10-lowd	8	dec08	10	dec10-lowd	4	dec04
S01006524	Aberdeen City	1017.0	1751712.99145	6.0	dec06	6	dec06	5	dec05	7	dec07	10	dec10-lowd	9	dec09	9	dec09	3	dec03
S01006525	Aberdeen City	849.0	359442.858611	10.0	dec10-lowd	9	dec09	9	dec09	9	dec09	10	dec10-lowd	10	dec10-lowd	9	dec09	4	dec04
