GSS	multiple_deprivation_measure_rank_dec	multiple_deprivation_measure_rank_dec_fac	income_domain_rank_dec	income_domain_rank_dec_fac	employment_domain_rank_dec	employment_domain_rank_dec_fac	health_deprivation_and_disability_domain_rank_dec	health_deprivation_and_disability_domain_rank_dec_fac	education_skills_and_training_domain_rank_dec	education_skills_and_training_domain_rank_dec_fac	access_to_services_domain_rank_dec	access_to_services_domain_rank_dec_fac	living_environment_domain_rank_dec	living_environment_domain_rank_dec_fac	crime_and_disorder_domain_rank_dec	crime_and_disorder_domain_rank_dec_fac
95AA01S1	6	dec06	9	dec09	10	dec10-lowd	10	dec10-lowd	3	dec03	1	dec01-highd	1	dec01-highd	10	dec10-lowd
95AA01S2	9	dec09	9	dec09	9	dec09	9	dec09	9	dec09	2	dec02	9	dec09	10	dec10-lowd
95AA01S3	8	dec08	7	dec07	8	dec08	9	dec09	8	dec08	2	dec02	5	dec05	9	dec09
95AA02W1	5	dec05	9	dec09	4	dec04	3	dec03	3	dec03	6	dec06	8	dec08	2	dec02
95AA03W1	3	dec03	4	dec04	3	dec03	2	dec02	3	dec03	5	dec05	9	dec09	2	dec02
95AA04W1	7	dec07	6	dec06	9	dec09	9	dec09	9	dec09	1	dec01-highd	5	dec05	7	dec07
95AA05W1	7	dec07	6	dec06	7	dec07	7	dec07	9	dec09	2	dec02	8	dec08	9	dec09
95AA06S1	7	dec07	9	dec09	6	dec06	4	dec04	6	dec06	4	dec04	10	dec10-lowd	4	dec04
95AA06S2	7	dec07	8	dec08	6	dec06	5	dec05	5	dec05	5	dec05	10	dec10-lowd	4	dec04
95AA07W1	7	dec07	5	dec05	7	dec07	7	dec07	7	dec07	3	dec03	6	dec06	7	dec07
95AA08W1	2	dec02	4	dec04	2	dec02	2	dec02	2	dec02	4	dec04	9	dec09	1	dec01-highd
95AA09W1	4	dec04	5	dec05	3	dec03	4	dec04	3	dec03	6	dec06	9	dec09	3	dec03
95AA10W1	4	dec04	6	dec06	3	dec03	3	dec03	3	dec03	5	dec05	10	dec10-lowd	1	dec01-highd
95AA11S1	8	dec08	9	dec09	8	dec08	5	dec05	6	dec06	7	dec07	9	dec09	2	dec02
95AA11S2	9	dec09	10	dec10-lowd	10	dec10-lowd	8	dec08	7	dec07	6	dec06	9	dec09	5	dec05
95AA12W1	8	dec08	7	dec07	10	dec10-lowd	10	dec10-lowd	10	dec10-lowd	1	dec01-highd	9	dec09	8	dec08
95AA13S1	8	dec08	9	dec09	7	dec07	6	dec06	6	dec06	4	dec04	5	dec05	4	dec04
95AA13S2	8	dec08	9	dec09	7	dec07	5	dec05	6	dec06	6	dec06	9	dec09	5	dec05
95AA14W1	7	dec07	8	dec08	9	dec09	9	dec09	9	dec09	1	dec01-highd	5	dec05	10	dec10-lowd
95AA15S1	7	dec07	8	dec08	8	dec08	5	dec05	5	dec05	5	dec05	10	dec10-lowd	3	dec03
95AA15S2	3	dec03	5	dec05	4	dec04	3	dec03	1	dec01-highd	4	dec04	5	dec05	3	dec03
95AA16W1	4	dec04	7	dec07	4	dec04	3	dec03	1	dec01-highd	8	dec08	9	dec09	3	dec03
