GSS	combined_idx_dec	income	employment	education	health	crime	housing	services	country
E01000001	9	10	10	10	10	10	3	3	england
E01000002	9	10	10	10	10	10	2	3	england
E01000003	5	6	6	7	4	9	1	2	england
E01000005	4	3	3	6	5	9	3	2	england
E01000006	4	5	6	6	7	2	3	1	england
E01000007	2	2	2	7	4	1	3	1	england
E01000008	2	2	3	3	4	3	4	1	england
E01000009	3	3	4	6	3	1	3	1	england
E01000010	3	3	7	6	5	1	2	1	england
E01000011	3	3	5	5	6	2	3	1	england
E01000012	2	2	4	5	6	2	2	1	england
E01000013	2	2	2	3	3	1	3	2	england
E01000014	2	2	3	3	3	1	4	2	england
E01000015	2	2	3	3	3	3	3	1	england
E01000016	2	2	3	3	4	2	4	2	england
E01000017	2	2	2	3	2	2	4	2	england
E01000018	2	2	3	3	3	2	5	2	england
E01000019	2	2	2	4	5	1	5	2	england
E01000020	3	2	3	3	3	3	4	2	england
E01000021	2	2	2	3	3	2	2	2	england
E01000022	3	3	3	3	4	3	4	2	england
E01000023	2	2	4	3	3	1	3	2	england
E01000024	3	3	3	3	3	4	4	2	england
E01000025	2	2	3	3	3	2	4	2	england
E01000027	2	2	2	2	3	1	6	1	england
E01000028	2	1	2	3	1	4	7	1	england
E01000029	4	5	5	5	5	1	5	1	england
E01000030	2	1	2	2	4	2	5	1	england
E01000031	4	5	4	6	6	1	4	3	england
E01000032	3	4	4	4	4	1	3	3	england
E01000033	2	2	2	2	3	4	4	1	england
E01000034	2	2	3	3	2	3	6	1	england
E01000035	3	3	4	4	4	3	4	2	england
E01000036	5	5	5	5	6	3	3	4	england
E01000037	5	4	3	5	7	7	5	4	england
E01000038	5	5	4	5	6	5	6	4	england
E01000039	4	4	5	4	5	3	6	2	england
E01000040	2	2	2	3	5	2	4	2	england
E01000041	2	3	3	2	4	2	3	1	england
E01000042	2	1	1	3	4	3	4	1	england
E01000043	3	2	3	3	4	1	4	2	england
E01000044	3	3	5	4	6	1	2	2	england
E01000045	2	2	3	4	4	1	2	2	england
E01000046	3	2	3	3	4	4	4	1	england
E01000048	1	1	1	4	2	4	4	1	england
E01000049	2	1	3	3	3	2	4	1	england
E01000050	2	3	4	4	3	1	2	1	england
E01000051	2	1	2	3	3	3	3	1	england
E01000052	3	3	4	3	4	2	3	2	england
E01000053	2	2	3	3	2	1	3	1	england
E01000054	3	2	4	4	4	1	4	2	england
E01000055	3	2	3	3	6	1	4	2	england
E01000056	2	2	2	4	2	1	4	1	england
E01000057	2	2	2	3	4	1	3	2	england
E01000058	3	2	3	4	5	2	4	2	england
E01000059	2	2	2	3	5	1	3	2	england
E01000060	2	2	2	4	3	1	5	1	england
E01000061	1	1	1	2	2	2	6	1	england
E01000062	3	3	4	3	5	1	6	2	england
E01000063	2	2	3	2	4	2	4	2	england
E01000064	2	2	3	3	2	4	3	1	england
E01000065	2	2	2	3	2	2	4	1	england
E01000066	4	4	4	5	5	4	6	1	england
E01000067	5	4	5	5	6	3	5	2	england
E01000068	4	4	5	6	5	1	5	1	england
E01000069	6	6	6	6	7	4	5	4	england
E01000070	5	5	5	6	7	2	4	2	england
E01000071	5	4	7	6	6	5	5	2	england
E01000072	2	2	3	3	3	1	2	1	england
E01000073	2	2	3	2	3	1	4	2	england
E01000074	2	2	3	3	2	3	5	2	england
E01000075	2	2	3	3	4	1	2	2	england
E01000076	2	2	2	2	3	2	4	1	england
E01000077	2	2	2	3	4	2	3	2	england
E01000078	2	2	3	3	5	1	3	2	england
E01000079	2	2	3	3	2	2	4	1	england
E01000080	2	2	2	4	3	3	5	1	england
E01000081	3	3	3	3	3	2	4	2	england
E01000082	3	3	3	3	4	3	3	2	england
E01000083	2	2	3	3	3	2	3	2	england
E01000084	2	2	3	2	3	1	3	2	england
E01000085	2	2	2	2	4	1	4	1	england
E01000086	2	2	3	3	2	1	4	2	england
E01000087	2	2	3	3	3	4	3	1	england
E01000088	3	3	4	4	3	3	3	2	england
E01000089	3	3	4	4	5	3	2	2	england
E01000090	3	3	4	4	6	1	4	1	england
E01000091	2	1	2	2	3	2	4	1	england
E01000092	3	3	3	5	5	1	5	1	england
E01000093	1	1	2	3	2	1	4	1	england
E01000094	3	3	4	6	4	3	3	1	england
E01000095	2	3	4	3	5	1	6	1	england
E01000096	2	1	3	3	4	1	3	1	england
E01000097	2	2	2	3	2	1	4	1	england
E01000098	2	2	2	3	3	1	5	2	england
E01000099	3	2	3	4	3	2	5	2	england
E01000100	2	2	2	3	4	2	3	2	england
E01000101	2	2	3	3	2	1	3	2	england
E01000102	2	2	3	4	3	1	4	2	england
E01000103	2	1	3	2	3	1	5	1	england
E01000104	2	1	2	3	4	4	5	1	england
E01000105	1	1	2	2	2	1	5	1	england
E01000106	1	1	2	3	3	1	2	1	england
E01000107	3	4	3	4	5	3	5	2	england
E01000108	3	3	4	4	5	2	2	3	england
E01000109	3	4	4	4	5	1	3	2	england
E01000110	6	5	6	6	5	5	6	4	england
E01000111	3	2	4	4	4	2	3	2	england
E01000112	4	4	6	5	6	2	2	2	england
E01000113	4	3	4	6	7	1	3	2	england
E01000114	3	3	5	4	5	2	3	2	england
E01000115	10	9	9	9	10	7	7	7	england
E01000116	8	7	8	9	9	4	5	6	england
E01000117	7	7	7	8	9	4	5	4	england
E01000118	7	6	7	8	10	4	6	5	england
E01000119	7	6	8	9	10	1	5	6	england
E01000120	8	7	8	9	10	4	6	6	england
E01000121	2	1	2	4	2	3	7	2	england
E01000122	8	7	8	10	10	7	6	3	england
E01000123	7	6	8	8	9	6	6	3	england
E01000124	4	3	4	6	6	2	4	3	england
E01000125	3	2	4	3	4	2	3	1	england
E01000126	2	2	3	6	4	5	3	1	england
E01000127	3	2	3	4	5	3	5	2	england
E01000128	3	3	5	4	8	1	5	2	england
E01000129	2	2	4	3	4	1	3	1	england
E01000130	3	2	3	5	5	2	2	2	england
E01000131	5	5	6	6	7	1	5	1	england
E01000132	3	3	4	4	6	2	5	2	england
E01000133	2	2	2	3	3	3	4	2	england
E01000134	4	3	4	5	6	5	4	2	england
E01000135	7	7	8	9	8	3	4	3	england
E01000136	8	9	10	9	10	3	3	3	england
E01000137	3	2	3	7	4	4	3	1	england
E01000138	3	3	3	8	6	1	3	1	england
E01000139	7	6	9	9	10	3	3	3	england
E01000140	5	5	7	7	5	5	3	3	england
E01000141	2	3	5	7	5	1	1	2	england
E01000142	5	4	5	8	6	6	2	3	england
E01000143	2	2	2	5	6	2	4	1	england
E01000144	5	6	6	9	9	1	2	2	england
E01000145	7	6	8	9	10	3	3	3	england
E01000146	5	7	7	10	9	1	2	2	england
E01000147	7	7	9	7	9	3	4	3	england
E01000148	3	2	3	5	5	3	3	1	england
E01000150	5	4	6	7	10	4	3	1	england
E01000151	2	1	2	5	5	3	4	1	england
E01000152	2	1	3	4	6	3	5	1	england
E01000153	1	1	2	3	4	1	5	1	england
E01000154	2	2	3	3	5	3	4	1	england
E01000155	4	4	6	5	8	5	2	1	england
E01000156	7	6	8	10	9	3	5	5	england
E01000157	6	5	7	7	7	4	3	4	england
E01000158	5	4	5	7	8	2	4	4	england
E01000159	5	5	5	9	9	1	6	3	england
E01000160	6	6	8	7	10	2	3	4	england
E01000161	6	5	8	9	9	1	4	3	england
E01000162	4	4	5	7	4	2	4	4	england
E01000163	3	2	2	7	5	4	6	1	england
E01000164	3	3	4	7	7	1	4	2	england
E01000165	6	5	8	9	9	2	5	1	england
E01000166	6	4	5	8	9	6	6	3	england
E01000167	3	3	3	4	4	3	7	3	england
E01000168	9	8	8	9	10	5	8	6	england
E01000169	7	6	6	9	8	4	5	4	england
E01000170	4	3	3	7	8	4	4	4	england
E01000171	4	3	4	7	6	3	1	3	england
E01000172	8	6	9	10	10	4	6	5	england
E01000173	8	6	7	9	9	6	7	6	england
E01000174	5	4	5	7	6	5	4	3	england
E01000175	8	7	7	10	10	4	6	5	england
E01000176	3	2	3	5	5	4	6	1	england
E01000177	8	8	10	10	10	4	4	5	england
E01000178	7	6	8	10	10	4	4	4	england
E01000179	8	8	9	10	9	5	5	4	england
E01000180	6	4	6	7	7	6	5	3	england
E01000181	8	8	9	10	10	5	3	5	england
E01000182	8	9	9	10	9	6	2	4	england
E01000183	7	6	9	10	8	6	4	3	england
E01000184	2	2	2	3	5	2	5	2	england
E01000185	3	2	2	5	4	6	5	1	england
E01000186	10	9	10	10	10	7	7	6	england
E01000187	6	4	7	7	7	7	7	3	england
E01000188	8	9	9	10	10	2	5	5	england
E01000189	2	1	3	4	5	7	3	1	england
E01000190	7	7	8	9	9	4	7	2	england
E01000191	9	8	8	10	10	6	6	3	england
E01000192	6	5	7	9	9	3	3	3	england
E01000193	6	6	6	9	9	3	4	3	england
E01000194	5	6	7	8	9	2	2	2	england
E01000195	3	2	3	4	5	4	4	1	england
E01000196	6	6	6	6	9	9	3	3	england
E01000197	7	7	8	10	10	6	2	3	england
E01000198	7	6	9	9	10	5	6	1	england
E01000199	9	8	9	10	10	7	6	3	england
E01000200	8	7	7	10	10	5	5	3	england
E01000201	9	9	10	10	10	3	4	6	england
E01000202	9	9	9	10	10	5	5	4	england
E01000203	6	5	6	9	9	5	5	2	england
E01000204	8	7	8	10	10	3	4	4	england
E01000205	9	8	10	10	10	4	5	5	england
E01000206	8	10	10	10	10	4	6	1	england
E01000207	9	9	10	10	10	7	5	4	england
E01000208	9	9	10	10	10	3	5	4	england
E01000209	9	8	10	10	10	6	5	3	england
E01000210	8	8	10	10	10	3	4	5	england
E01000211	5	5	6	9	7	6	2	3	england
E01000212	8	9	9	10	10	5	4	3	england
E01000213	9	10	10	10	10	8	6	2	england
E01000214	7	9	10	10	10	2	3	2	england
E01000215	7	6	7	8	9	6	4	3	england
E01000216	8	7	9	10	10	4	4	3	england
E01000217	7	8	8	8	10	3	4	3	england
E01000218	7	7	7	8	9	5	3	3	england
E01000219	6	5	6	7	9	4	4	2	england
E01000220	6	5	6	9	6	6	4	3	england
E01000221	2	1	2	5	4	1	4	1	england
E01000222	3	3	4	6	8	1	4	1	england
E01000223	2	2	3	4	6	2	4	1	england
E01000224	5	4	4	6	9	5	4	3	england
E01000225	7	8	9	8	9	5	5	2	england
E01000226	3	2	3	3	5	4	4	2	england
E01000227	7	6	7	9	9	5	6	3	england
E01000228	7	6	7	9	8	2	7	3	england
E01000229	4	3	4	5	6	4	5	1	england
E01000230	8	7	8	7	10	5	6	5	england
E01000231	6	5	8	9	9	4	5	1	england
E01000232	6	5	5	9	7	5	5	3	england
E01000233	8	6	8	9	9	4	5	5	england
E01000234	7	6	8	9	9	4	5	4	england
E01000235	4	3	4	5	5	3	4	3	england
E01000236	7	6	8	10	9	4	4	3	england
E01000237	7	8	9	10	9	3	3	3	england
E01000238	6	7	7	8	10	3	3	3	england
E01000239	5	5	6	8	8	4	4	1	england
E01000240	5	5	7	9	9	2	4	1	england
E01000241	7	7	9	10	10	4	4	2	england
E01000242	4	5	5	9	8	2	4	1	england
E01000243	5	6	8	9	7	2	2	2	england
E01000244	6	6	9	8	8	3	2	2	england
E01000245	3	3	4	6	5	2	2	1	england
E01000246	8	8	8	10	10	4	5	2	england
E01000247	8	7	7	10	10	6	7	3	england
E01000248	8	9	9	10	9	2	5	6	england
E01000249	9	10	9	10	10	5	7	5	england
E01000250	6	5	6	9	8	4	4	3	england
E01000251	5	4	4	8	5	4	4	4	england
E01000252	6	5	5	10	7	4	6	3	england
E01000253	8	9	10	9	7	4	7	2	england
E01000254	8	9	10	10	9	3	3	3	england
E01000255	5	4	4	7	6	3	5	3	england
E01000256	7	7	9	9	10	2	6	2	england
E01000257	3	3	3	5	6	3	4	1	england
E01000258	7	8	9	9	8	2	3	5	england
E01000259	6	5	7	9	9	3	5	3	england
E01000260	4	4	6	7	9	1	4	1	england
E01000261	8	8	10	10	9	7	5	2	england
E01000262	6	4	8	7	10	8	8	1	england
E01000263	10	10	10	10	10	6	5	4	england
E01000264	5	5	5	9	8	3	3	3	england
E01000265	5	3	5	8	7	6	4	3	england
E01000266	9	9	10	10	10	2	8	5	england
E01000267	6	6	6	10	8	5	5	2	england
E01000268	5	3	5	8	9	3	2	4	england
E01000269	8	7	8	8	10	4	7	3	england
E01000270	8	7	8	9	10	4	5	3	england
E01000271	8	8	9	10	9	6	6	3	england
E01000272	9	9	10	10	10	3	8	6	england
E01000273	6	5	6	10	6	3	5	4	england
E01000274	5	4	5	6	8	4	4	4	england
E01000275	7	5	7	10	8	6	7	2	england
E01000276	10	10	10	10	10	9	8	4	england
E01000277	5	4	5	9	6	6	5	1	england
E01000278	10	10	10	10	10	8	7	3	england
E01000279	9	10	10	10	10	6	8	2	england
E01000280	10	10	10	10	10	7	8	6	england
E01000281	5	4	5	8	5	5	5	3	england
E01000282	8	7	9	10	10	4	6	4	england
E01000283	10	10	10	10	10	5	8	3	england
E01000284	5	4	6	8	6	5	5	3	england
E01000285	5	4	5	7	6	5	6	4	england
E01000286	4	3	4	6	5	3	5	2	england
E01000287	3	3	4	3	4	3	6	3	england
E01000288	7	6	8	8	9	3	5	4	england
E01000289	2	1	2	4	4	1	6	1	england
E01000290	4	4	4	6	6	2	7	1	england
E01000291	2	2	2	4	4	2	8	1	england
E01000292	7	6	6	9	8	3	5	5	england
E01000293	9	8	8	10	10	4	5	6	england
E01000294	6	5	5	10	5	8	7	4	england
E01000295	7	8	8	10	9	4	2	3	england
E01000296	7	6	8	9	9	4	3	3	england
E01000297	7	6	8	7	9	6	5	4	england
E01000298	7	6	8	10	9	4	2	3	england
E01000299	5	5	7	9	7	2	2	3	england
E01000300	7	6	6	10	9	6	5	3	england
E01000301	9	9	9	10	10	5	5	5	england
E01000302	5	4	5	8	6	5	5	3	england
E01000303	9	9	9	10	9	6	7	3	england
E01000304	6	6	8	8	8	5	4	2	england
E01000305	3	3	4	5	7	3	2	1	england
E01000306	6	6	7	7	9	3	3	2	england
E01000307	4	4	7	5	8	1	3	1	england
E01000308	1	1	2	4	5	1	2	1	england
E01000309	7	7	7	10	9	4	4	2	england
E01000310	5	6	7	6	8	3	3	1	england
E01000311	8	9	10	10	10	2	4	4	england
E01000312	3	3	4	7	5	5	4	1	england
E01000313	4	5	6	7	7	1	3	1	england
E01000314	7	8	9	10	10	2	3	3	england
E01000315	2	2	2	3	5	2	6	2	england
E01000316	4	4	5	9	8	2	3	2	england
E01000317	7	6	7	9	8	5	3	4	england
E01000318	6	6	8	9	8	2	4	4	england
E01000319	8	7	8	10	10	5	5	4	england
E01000320	8	7	8	10	9	7	5	2	england
E01000321	5	5	5	9	6	5	2	3	england
E01000322	5	5	6	9	8	5	2	3	england
E01000323	4	5	5	9	6	2	2	3	england
E01000324	6	6	5	9	7	5	4	4	england
E01000325	10	9	9	7	10	8	8	7	england
E01000326	7	7	9	5	8	5	4	6	england
E01000327	9	9	8	7	9	4	6	7	england
E01000328	8	8	8	5	10	4	8	6	england
E01000329	6	4	5	5	8	4	7	5	england
E01000330	6	5	5	6	7	5	4	5	england
E01000331	4	4	3	3	6	5	6	2	england
E01000332	6	5	5	5	9	2	6	7	england
E01000333	3	3	3	3	5	3	5	5	england
E01000334	7	6	6	5	8	7	8	3	england
E01000335	3	3	3	2	6	3	6	1	england
E01000336	3	2	3	4	5	3	3	2	england
E01000337	5	3	4	5	7	4	5	5	england
E01000338	5	5	5	5	9	3	4	4	england
E01000339	7	5	5	4	8	6	8	7	england
E01000340	7	7	7	4	9	7	5	3	england
E01000341	9	7	8	6	9	8	7	8	england
E01000342	8	9	9	6	9	6	5	6	england
E01000343	8	8	8	5	8	7	6	7	england
E01000344	9	9	9	6	9	7	9	8	england
E01000345	10	9	9	6	10	9	8	8	england
E01000346	9	9	9	6	10	5	5	8	england
E01000347	7	7	8	4	7	5	5	6	england
E01000348	10	10	9	6	10	9	8	7	england
E01000349	9	9	9	7	10	8	9	4	england
E01000350	9	9	9	6	9	6	7	6	england
E01000351	9	9	9	5	10	9	9	4	england
E01000352	6	5	6	4	8	5	6	5	england
E01000353	10	9	9	7	10	8	9	10	england
E01000354	5	4	4	5	6	8	7	4	england
E01000355	8	8	7	6	8	8	8	8	england
E01000356	9	9	7	7	9	6	9	9	england
E01000357	10	9	10	7	10	8	9	9	england
E01000358	9	8	8	7	9	8	7	7	england
E01000359	10	9	8	7	10	8	8	7	england
E01000360	5	5	5	8	6	3	4	4	england
E01000361	7	6	7	6	10	5	7	5	england
E01000362	7	7	7	7	9	3	6	6	england
E01000363	9	9	8	7	9	6	7	6	england
E01000364	7	7	8	6	9	6	7	3	england
E01000365	6	5	6	7	7	3	6	5	england
E01000366	8	6	7	8	9	5	7	7	england
E01000367	3	3	3	2	4	2	5	2	england
E01000368	3	2	3	2	5	5	7	1	england
E01000369	7	6	5	5	9	4	6	7	england
E01000370	8	7	7	6	8	9	8	6	england
E01000371	8	8	8	5	10	6	7	6	england
E01000372	3	3	2	3	4	5	6	4	england
E01000373	3	2	3	3	5	4	8	1	england
E01000374	2	2	2	2	4	6	4	2	england
E01000375	5	4	5	3	7	4	6	4	england
E01000376	7	6	7	5	8	4	6	5	england
E01000377	7	6	7	6	9	5	8	5	england
E01000378	4	5	4	4	6	4	4	2	england
E01000379	5	4	5	4	8	3	6	3	england
E01000380	4	3	4	3	6	8	5	1	england
E01000381	3	4	3	3	5	6	5	1	england
E01000382	9	10	9	8	9	8	9	4	england
E01000383	5	6	5	4	6	2	7	2	england
E01000384	7	6	7	7	9	6	4	6	england
E01000385	3	2	3	3	5	5	5	2	england
E01000386	2	2	2	2	3	4	4	3	england
E01000387	7	7	7	7	8	7	9	2	england
E01000388	7	7	8	6	9	2	7	8	england
E01000389	7	6	8	7	9	4	7	4	england
E01000390	8	8	9	6	9	4	6	5	england
E01000391	7	6	6	4	9	6	7	5	england
E01000392	3	3	3	4	4	4	4	3	england
E01000393	8	7	8	7	9	5	6	7	england
E01000394	8	7	7	8	9	5	7	6	england
E01000395	9	9	8	7	10	7	8	8	england
E01000396	9	9	8	6	10	7	7	5	england
E01000398	5	4	4	3	7	6	7	3	england
E01000399	8	7	8	5	10	5	7	6	england
E01000400	7	6	6	5	9	5	5	7	england
E01000401	4	3	3	3	4	4	5	3	england
E01000402	5	4	4	5	8	5	6	3	england
E01000403	3	3	3	4	7	1	7	2	england
E01000404	3	2	3	4	5	3	4	2	england
E01000405	4	3	3	4	8	5	4	3	england
E01000406	4	4	4	5	7	2	3	2	england
E01000407	6	6	5	5	6	5	4	5	england
E01000408	4	3	4	4	6	6	4	5	england
E01000409	9	9	8	5	10	8	8	8	england
E01000410	9	9	10	6	10	7	7	6	england
E01000411	8	7	7	5	9	7	7	7	england
E01000412	8	7	8	7	9	6	6	3	england
E01000413	7	7	8	5	9	4	6	5	england
E01000414	6	6	7	6	8	3	5	6	england
E01000415	9	9	9	6	10	7	8	8	england
E01000416	4	3	4	6	7	1	7	2	england
E01000417	5	5	5	5	7	2	6	3	england
E01000418	4	4	6	4	8	3	5	2	england
E01000419	9	9	8	6	9	7	8	6	england
E01000420	8	8	7	5	9	5	8	6	england
E01000421	9	9	8	7	9	7	8	5	england
E01000422	2	1	2	4	6	2	7	1	england
E01000423	10	10	10	8	10	8	6	10	england
E01000424	9	8	9	9	9	4	4	7	england
E01000425	10	9	9	8	8	8	9	6	england
E01000426	8	8	9	7	9	6	5	6	england
E01000427	7	6	6	6	9	7	6	4	england
E01000428	4	4	4	5	3	6	4	2	england
E01000429	2	2	2	3	3	2	4	1	england
E01000430	5	4	5	6	7	4	9	2	england
E01000431	2	2	2	3	4	2	5	2	england
E01000432	3	3	3	3	6	1	7	3	england
