project.id	LAD2011_GSS
mm.domus.SE118	E07000149
mm.domus.SE499	E07000064
mm.domus.YH001	E08000016
mm.domus.NW036	E07000123
mm.domus.EM073	E07000134
mm.domus.SE329	E09000020
mm.musa.002	E09000030
mm.MDN.025	W06000012
mm.domus.SE524	E09000007
mm.wiki.007	E06000055
mm.wiki.280	E07000149
mm.wiki.504	E07000205
mm.wiki.254	E07000138
mm.wiki.475	S12000046
mm.wiki.295	E07000154
mm.domus.EM048	E06000015
mm.domus.SW230	E07000040
mm.wiki.059	E07000028
mm.domus.YH005	E08000035
mm.domus.EM066	E06000016
mm.domus.YH023	E08000019
mm.domus.NW025	E07000031
mm.domus.SC001	S12000015
mm.hha.153	S12000026
mm.mald.001	W06000018
mm.misc.093	W06000008
mm.domus.WA094	W06000003
mm.domus.SC002	S12000033
mm.domus.SC003	S12000033
mm.domus.SC187	S12000033
mm.domus.SC173	S12000034
mm.aim.0005	W06000021
mm.aim82NM.001	W06000002
mm.aim.0006	W06000019
mm.domus.WA066	W06000008
mm.domus.SE170	E07000180
mm.domus.EM001	E07000154
mm.aim82NM.002	S12000017
mm.hha.051	E06000025
mm.domus.WM034	E06000051
mm.aim82NM.003	S12000034
mm.hha.130	E06000049
mm.aim82M.001	E06000052
mm.aim82NM.131	E07000065
mm.domus.SE413	E07000105
mm.domus.SE171	E07000092
mm.aim82NM.005	E07000222
mm.Mus70Cal.002	S12000044
mm.domus.YH154	E07000165
mm.wiki.392	E06000054
mm.domus.SE172	E07000205
mm.domus.SE176	
mm.domus.SE169	E07000092
mm.aim.0037	E08000030
mm.musa.006	E09000033
mm.domus.SW193	E06000054
mm.wiki.456	S12000034
mm.domus.EM003	E07000137
mm.misc.112	S12000034
mm.fcm.001	E07000206
mm.domus.EM059	E07000153
mm.aim.0014	E09000001
mm.domus.SE177	E07000085
mm.hha.117	E07000165
mm.domus.SW093	E07000040
mm.domus.SC242	S12000005
mm.domus.SC013	S12000040
mm.aim.0710	E06000057
mm.aim82NM.006	E07000046
mm.aim.0018	E07000198
mm.hha.094	E07000151
mm.domus.SC016	S12000024
mm.domus.SE415	E07000227
mm.wiki.420	N09000005
mm.misc.084	N09000002
mm.aim.0021	E07000005
mm.domus.SE578	E07000005
mm.domus.WA005	W06000008
mm.domus.WA101	W06000023
mm.mgs.388	S12000035
mm.domus.SE007	E09000033
mm.domus.SC220	S12000033
mm.domus.SC293	S12000036
mm.aim.0025	E07000071
mm.domus.WM103	E07000197
mm.domus.SE116	E07000143
mm.domus.SE178	E07000093
mm.domus.SC068	S12000015
mm.domus.NI030	N09000008
mm.domus.WA081	W06000023
mm.domus.SE539	E07000009
mm.musa.008	S12000041
mm.domus.NE002	E06000047
mm.domus.WM033	E07000221
mm.domus.SE416	E07000063
mm.domus.SW198	E06000052
mm.wiki.341	E07000195
mm.mgs.327	S12000017
mm.musa.010	E09000033
mm.domus.NE033	E08000023
mm.domus.SC021	S12000041
mm.domus.SC020	S12000041
mm.hha.112	E07000219
mm.domus.SC024	S12000034
mm.mgs.380	S12000034
mm.wiki.097	E06000010
mm.hha.016	E07000180
mm.nimc.007	N09000002
mm.domus.SC069	S12000030
mm.hha.131	E06000049
mm.domus.SW231	E07000043
mm.aim82NM.009	E07000079
mm.mgs.367	S12000040
mm.domus.NI018	N09000002
mm.domus.NI022	N09000002
mm.domus.NW073	E07000031
mm.hha.158	S12000019
mm.misc.031	E06000021
mm.domus.SC030	S12000021
mm.wiki.218	E06000046
mm.musa.012	E09000019
mm.musa.015	N09000008
mm.wiki.375	E07000224
mm.domus.SE174	E07000224
mm.wiki.393	E06000054
mm.domus.SE515	E07000004
mm.ace.1163	E07000209
mm.misc.058	E07000035
mm.domus.SW157	E07000045
mm.domus.EM004	E07000134
mm.wiki.121	E07000077
mm.domus.SE248	E07000105
mm.wiki.236	E07000105
mm.domus.SE388	E07000178
mm.hha.074	E07000096
mm.domus.SE173	E07000099
mm.MDN.005	E08000017
mm.wiki.167	E09000018
