project_id	LSOA2011_GSS
mm.domus.SE118	E01026887
mm.domus.SE499	E01021084
mm.domus.YH001	E01007418
mm.domus.NW036	E01025295
mm.domus.EM073	E01025938
mm.domus.SE329	E01002865
mm.musa.002	E01004306
mm.MDN.025	W01000917
mm.domus.SE524	E01000896
mm.wiki.007	E01017478
mm.wiki.280	E01026913
mm.wiki.504	E01030176
mm.wiki.254	E01026159
mm.wiki.475	S01010267
mm.wiki.295	E01027223
mm.domus.EM048	E01013479
mm.domus.SW230	E01019911
mm.wiki.059	E01019238
mm.domus.YH005	E01011488
mm.domus.EM066	E01013605
mm.domus.YH023	E01007932
mm.domus.NW025	E01019363
mm.domus.SC001	S01009307
mm.hha.153	S01012377
mm.mald.001	W01001332
mm.misc.093	W01000506
mm.domus.WA094	W01000130
mm.domus.SC002	S01006586
mm.domus.SC003	S01006589
mm.domus.SC187	S01006582
mm.domus.SC173	S01007064
mm.aim.0005	W01001557
mm.aim82NM.001	W01001933
mm.aim.0006	W01001436
mm.domus.WA066	W01000512
mm.domus.SE170	E01033306
mm.domus.EM001	E01027135
mm.aim82NM.002	S01010658
mm.hha.051	E01014929
mm.domus.WM034	E01028990
mm.aim82NM.003	S01007003
mm.hha.130	E01018668
mm.aim82M.001	E01018988
mm.aim82NM.131	E01021166
mm.domus.SE413	E01024015
mm.domus.SE171	E01023142
mm.aim82NM.005	E01031308
mm.Mus70Cal.002	S01011654
mm.domus.YH154	E01027644
mm.wiki.392	E01031841
mm.domus.SE172	E01030153
mm.domus.SE176	
mm.domus.SE169	E01023136
mm.aim.0037	E01010241
mm.musa.006	E01033594
mm.domus.SW193	E01031884
mm.wiki.456	S01006883
mm.domus.EM003	E01026043
mm.misc.112	S01006883
mm.fcm.001	E01030282
mm.domus.EM059	E01027110
mm.aim.0014	E01032739
mm.domus.SE177	E01022576
mm.hha.117	E01027703
mm.domus.SW093	E01019932
mm.domus.SC242	S01007466
mm.domus.SC013	S01013316
mm.aim.0710	E01027358
mm.aim82NM.006	E01020287
mm.aim.0018	E01029801
mm.hha.094	E01026998
mm.domus.SC016	S01011976
mm.domus.SE415	E01031626
mm.wiki.420	95MM02S1
mm.misc.084	95LL14S1
mm.aim.0021	E01017741
mm.domus.SE578	E01017745
mm.domus.WA005	W01000513
mm.domus.WA101	W01000494
mm.mgs.388	S01007284
mm.domus.SE007	E01004765
mm.domus.SC220	S01006669
mm.domus.SC293	S01008673
mm.aim.0025	E01021723
mm.domus.WM103	E01029701
mm.domus.SE116	E01026468
mm.domus.SE178	E01023202
mm.domus.SC068	S01009309
mm.domus.NI030	95HH03W1
mm.domus.WA081	W01000428
mm.domus.SE539	E01018011
mm.musa.008	S01007247
mm.domus.NE002	E01020595
mm.domus.WM033	E01031233
mm.domus.SE416	E01021039
mm.domus.SW198	E01018781
mm.wiki.341	E01029559
mm.mgs.327	S01010688
mm.musa.010	E01004761
mm.domus.NE033	E01008599
mm.domus.SC021	S01007185
mm.domus.SC020	S01007185
mm.hha.112	E01031050
mm.domus.SC024	S01007085
mm.mgs.380	S01006888
mm.wiki.097	E01033109
mm.hha.016	E01028730
mm.nimc.007	95CC15W1
mm.domus.SC069	S01013068
mm.hha.131	E01018598
mm.domus.SW231	E01020088
mm.aim82NM.009	E01022175
mm.mgs.367	S01013384
mm.domus.NI018	95CC22W1
mm.domus.NI022	95CC03W1
mm.domus.NW073	E01019374
mm.hha.158	S01010931
mm.misc.031	E01014249
mm.domus.SC030	S01011177
mm.wiki.218	E01017296
mm.musa.012	E01033493
mm.musa.015	95DD10W1
mm.wiki.375	E01031392
mm.domus.SE174	E01031392
mm.wiki.393	E01032022
mm.domus.SE515	E01017731
mm.ace.1163	E01030430
mm.misc.058	E01019612
mm.domus.SW157	E01020196
mm.domus.EM004	E01025918
mm.wiki.121	E01022057
mm.domus.SE248	E01024027
mm.wiki.236	E01024027
mm.domus.SE388	E01028521
mm.hha.074	E01023356
mm.domus.SE173	E01023586
mm.MDN.005	E01007497
mm.wiki.167	E01002691
mm.aim.0036	E01033619
mm.domus.NW003	E01006022
mm.domus.NW007	E01006250
mm.domus.NW006	E01024934
mm.domus.WM065	E01008901
mm.aim.0038	E01028603
mm.hha.042	E01020540
mm.domus.SW003	E01031949
mm.aim.0040	S01011981
mm.wiki.490	S01012012
mm.domus.NW014	E01006968
mm.domus.WM140	E01028959
mm.aim.0042	E01031903
mm.domus.SC032	S01007312
mm.wiki.093	E01020868
mm.domus.SE478	E01022075
mm.domus.SC071	S01008133
mm.domus.SC033	S01012387
mm.misc.018	E01019071
mm.aim82M.002	E01011235
mm.musa.021	E01010063
mm.hha.008	E01023236
mm.aim82NM.011	E01032062
mm.aim.0044	E01014865
mm.domus.WM001	E01032166
mm.aim.0046	E01005926
mm.domus.SW094	E01019947
mm.domus.SW173	E01019888
mm.domus.NE003	E01020848
mm.aim.0049	E01026500
mm.domus.EM013	E01026269
mm.musa.022	S01012540
mm.musa.023	E01025382
mm.ace.1086	E01031281
mm.misc.182	E01014891
mm.domus.YH011	E01011054
mm.ace.1189	E01027358
mm.domus.SC271	S01007918
mm.aim82NM.017	E01015578
mm.aim.0052	W01000957
mm.fcm.013	E01029343
mm.domus.EM014	E01019600
mm.wiki.206	E01023589
mm.domus.SE109	E01023259
mm.musa.026	95SS11S2
mm.hha.163	S01011046
mm.domus.NI025	95UU99C6
mm.domus.NI032	95DD08W1
mm.domus.NI023	95EE13W1
mm.hha.164	S01006792
mm.aim.0054	E01027374
mm.domus.SE181	E01028435
mm.domus.SC028	S01006865
mm.wiki.237	E01025195
mm.domus.SC027	S01007032
mm.domus.WA102	W01000076
mm.aim82M.023	E01026435
mm.aim.0057	E01032739
mm.domus.YH111	E01010967
mm.wiki.416	95FF12W1
mm.ace.1177	E01004733
mm.domus.WM015	E01010505
mm.aim82M.063	E01014746
mm.aim.0058	E01013416
mm.domus.SW178	E01019012
mm.domus.WM082	E01033631
mm.Mus70Cal.028	E01017139
mm.domus.YH030	E01013366
mm.musa.031	E01021257
mm.aim82NM.012	W01000049
mm.aim.0060	W01000049
mm.nimc.013	95LL10S1
mm.wiki.048	E01019012
mm.domus.SE004	E01000292
mm.aim82M.003	E01020511
mm.wiki.089	E01020094
mm.aim.0062	E01020287
mm.domus.SC070	S01008133
mm.mgs.044	S01009014
mm.domus.SC233	S01007705
mm.ace.1238	E01019527
mm.mald.052	W01001061
mm.wiki.281	E01026580
mm.domus.SE518	E01016256
mm.domus.SE599	E01022468
mm.wiki.333	E01029279
mm.domus.EM015	E01028011
mm.domus.SE528	E01021098
mm.domus.SW095	E01014370
mm.aim82NM.016	E01014372
mm.aim82NM.021	E01014373
mm.domus.SW005	E01014370
mm.domus.SW174	E01014407
mm.domus.YH017	E01011917
mm.domus.SE187	E01021084
mm.wiki.150	E01033725
