project_id	OA2011_GSS
mm.domus.SE118	E00136748
mm.domus.SE499	E00107097
mm.domus.YH001	E00037597
mm.domus.NW036	E00172015
mm.domus.EM073	E00131624
mm.domus.SE329	E00014385
mm.musa.002	E00021680
mm.MDN.025	W00004880
mm.domus.SE524	E00004420
mm.wiki.007	E00088250
mm.wiki.280	E00136890
mm.wiki.504	E00153862
mm.wiki.254	E00132841
mm.wiki.475	S00112183
mm.wiki.295	E00138486
mm.domus.EM048	E00171187
mm.domus.SW230	E00100773
mm.wiki.059	E00097248
mm.domus.YH005	E00057873
mm.domus.EM066	E00068661
mm.domus.YH023	E00040173
mm.domus.NW025	E00097883
mm.domus.SC001	S00111543
mm.hha.153	S00094916
mm.mald.001	W00006987
mm.misc.093	W00002707
mm.domus.WA094	W00000691
mm.domus.SC002	S00088986
mm.domus.SC003	S00090676
mm.domus.SC187	S00090575
mm.domus.SC173	S00091037
mm.aim.0005	W00008119
mm.aim82NM.001	W00000292
mm.aim.0006	W00007505
mm.domus.WA066	W00010054
mm.domus.SE170	E00146109
mm.domus.EM001	E00138038
mm.aim82NM.002	S00117804
mm.hha.051	E00075430
mm.domus.WM034	E00147633
mm.aim82NM.003	S00091302
mm.hha.130	E00094205
mm.aim82M.001	E00095918
mm.aim82NM.131	E00107529
mm.domus.SE413	E00121917
mm.domus.SE171	E00117585
mm.aim82NM.005	E00159642
mm.Mus70Cal.002	S00123526
mm.domus.YH154	E00140780
mm.wiki.392	E00162385
mm.domus.SE172	E00153728
mm.domus.SE176	
mm.domus.SE169	E00117556
mm.aim.0037	E00168248
mm.musa.006	E00175186
mm.domus.SW193	E00162629
mm.wiki.456	S00092705
mm.domus.EM003	E00132158
mm.misc.112	S00092921
mm.fcm.001	E00154464
mm.domus.EM059	E00137909
mm.aim.0014	E00000035
mm.domus.SE177	E00114775
mm.hha.117	E00141084
mm.domus.SW093	E00100896
mm.domus.SC242	S00096181
mm.domus.SC013	S00134034
mm.aim.0710	E00139187
mm.aim82NM.006	E00102762
mm.aim.0018	E00151855
mm.hha.094	E00137307
mm.domus.SC016	S00127032
mm.domus.SE415	E00161282
mm.wiki.420	N00002409
mm.misc.084	N00002284
mm.aim.0021	E00089523
mm.domus.SE578	E00089542
mm.domus.WA005	W00002740
mm.domus.WA101	W00002641
mm.mgs.388	S00094128
mm.domus.SE007	E00024124
mm.domus.SC220	S00090695
mm.domus.SC293	S00107235
mm.aim.0025	E00110339
mm.domus.WM103	E00166308
mm.domus.SE116	E00134510
mm.domus.SE178	E00117905
mm.domus.SC068	S00109500
mm.domus.NI030	N00001655
mm.domus.WA081	W00002283
mm.domus.SE539	E00090861
mm.musa.008	S00092995
mm.domus.NE002	E00104477
mm.domus.WM033	E00159250
mm.domus.SE416	E00106864
mm.domus.SW198	E00094811
mm.wiki.341	E00150624
mm.mgs.327	S00119362
mm.musa.010	E00175214
mm.domus.NE033	E00043660
mm.domus.SC021	S00093260
mm.domus.SC020	S00093260
mm.hha.112	E00168297
mm.domus.SC024	S00091957
mm.mgs.380	S00091216
mm.wiki.097	E00170764
mm.hha.016	E00146334
mm.nimc.007	N00000423
mm.domus.SC069	S00133192
mm.hha.131	E00093862
mm.domus.SW231	E00101723
mm.aim82NM.009	E00112685
mm.mgs.367	S00134262
mm.domus.NI018	N00000474
mm.domus.NI022	N00000359
mm.domus.NW073	E00097958
mm.hha.158	S00120969
mm.misc.031	E00071946
mm.domus.SC030	S00122806
mm.wiki.218	E00087354
mm.musa.012	E00174820
mm.musa.015	N00000540
mm.wiki.375	E00160060
mm.domus.SE174	E00160061
mm.wiki.393	E00163330
mm.domus.SE515	E00089471
mm.ace.1163	E00155228
mm.misc.058	E00099215
mm.domus.SW157	E00102307
mm.domus.EM004	E00131523
mm.wiki.121	E00112067
mm.domus.SE248	E00121985
mm.wiki.236	E00121985
mm.domus.SE388	E00145301
mm.hha.074	E00118659
mm.domus.SE173	E00119787
mm.MDN.005	E00037980
mm.wiki.167	E00013383
mm.aim.0036	E00175707
mm.domus.NW003	E00168640
mm.domus.NW007	E00031665
mm.domus.NW006	E00126578
mm.domus.WM065	E00045222
mm.aim.0038	E00145715
mm.hha.042	E00104175
mm.domus.SW003	E00162931
mm.aim.0040	S00126311
mm.wiki.490	S00126306
mm.domus.NW014	E00035347
mm.domus.WM140	E00147467
mm.aim.0042	E00162727
mm.domus.SC032	S00094061
mm.wiki.093	E00105926
mm.domus.SE478	E00112168
mm.domus.SC071	S00101304
mm.domus.SC033	S00128946
mm.misc.018	E00096368
mm.aim82M.002	E00056619
mm.musa.021	E00050892
mm.hha.008	E00118064
mm.aim82NM.011	E00163544
mm.aim.0044	E00075118
mm.domus.WM001	E00164063
mm.aim.0046	E00030011
mm.domus.SW094	E00100965
mm.domus.SW173	E00100638
mm.domus.NE003	E00105819
mm.aim.0049	E00134671
mm.domus.EM013	E00133418
mm.musa.022	S00129742
mm.musa.023	E00128820
mm.ace.1086	E00159498
mm.misc.182	E00075241
mm.domus.YH011	E00055684
mm.ace.1189	E00139190
mm.domus.SC271	S00099989
mm.aim82NM.017	E00078804
mm.aim.0052	W00005083
mm.fcm.013	E00149518
mm.domus.EM014	E00099138
mm.wiki.206	E00119821
mm.domus.SE109	E00118195
mm.musa.026	N00003358
mm.hha.163	S00121209
mm.domus.NI025	N00003655
mm.domus.NI032	N00000529
mm.domus.NI023	N00000699
mm.hha.164	S00092591
mm.aim.0054	E00139293
mm.domus.SE181	E00144920
mm.domus.SC028	S00091545
mm.wiki.237	E00127900
mm.domus.SC027	S00092080
mm.domus.WA102	W00010048
mm.aim82M.023	E00134314
mm.aim.0057	E00166755
mm.domus.YH111	E00055247
mm.wiki.416	N00000789
mm.ace.1177	E00023945
mm.domus.WM015	E00053043
mm.aim82M.063	E00074467
mm.aim.0058	E00067746
mm.domus.SW178	E00096068
mm.domus.WM082	E00045648
mm.Mus70Cal.028	E00167014
mm.domus.YH030	E00067490
mm.musa.031	E00107978
mm.aim82NM.012	W00000245
mm.aim.0060	W00000245
mm.nimc.013	N00002247
mm.wiki.048	E00096068
mm.domus.SE004	E00001425
mm.aim82M.003	E00104004
mm.wiki.089	E00101754
mm.aim.0062	E00102765
mm.domus.SC070	S00101304
mm.mgs.044	S00135263
mm.domus.SC233	S00099539
mm.ace.1238	E00098769
mm.mald.052	W00005606
mm.wiki.281	E00135060
mm.domus.SE518	E00082135
mm.domus.SE599	E00114262
mm.wiki.333	E00149168
mm.domus.EM015	E00142724
mm.domus.SE528	E00107169
mm.domus.SW095	E00072574
mm.aim82NM.016	E00072583
mm.aim82NM.021	E00072597
mm.domus.SW005	E00072573
