GSS	UR2_2013_2014	UR2_2013_2014_NAME	UR6_2013_2014	UR6_2013_2014_NAME
S01008101	1	Urban Areas	1	Large Urban Areas
S01008463	1	Urban Areas	1	Large Urban Areas
S01006639	1	Urban Areas	1	Large Urban Areas
S01006642	1	Urban Areas	1	Large Urban Areas
S01010406	1	Urban Areas	1	Large Urban Areas
S01006521	1	Urban Areas	1	Large Urban Areas
S01008103	1	Urban Areas	1	Large Urban Areas
S01008551	1	Urban Areas	1	Large Urban Areas
S01008097	1	Urban Areas	1	Large Urban Areas
S01008458	1	Urban Areas	1	Large Urban Areas
S01008100	1	Urban Areas	1	Large Urban Areas
S01008098	1	Urban Areas	1	Large Urban Areas
S01006641	1	Urban Areas	1	Large Urban Areas
S01008104	1	Urban Areas	1	Large Urban Areas
S01008351	1	Urban Areas	1	Large Urban Areas
S01007734	1	Urban Areas	1	Large Urban Areas
S01008464	1	Urban Areas	1	Large Urban Areas
S01006654	1	Urban Areas	1	Large Urban Areas
S01008465	1	Urban Areas	1	Large Urban Areas
S01008550	1	Urban Areas	1	Large Urban Areas
S01006525	1	Urban Areas	1	Large Urban Areas
S01008102	1	Urban Areas	1	Large Urban Areas
S01006638	1	Urban Areas	1	Large Urban Areas
S01006637	1	Urban Areas	1	Large Urban Areas
S01008418	1	Urban Areas	1	Large Urban Areas
S01008417	1	Urban Areas	1	Large Urban Areas
S01006520	1	Urban Areas	1	Large Urban Areas
S01008706	1	Urban Areas	1	Large Urban Areas
S01007733	1	Urban Areas	1	Large Urban Areas
S01008460	1	Urban Areas	1	Large Urban Areas
S01006730	1	Urban Areas	1	Large Urban Areas
S01008469	1	Urban Areas	1	Large Urban Areas
S01008549	1	Urban Areas	1	Large Urban Areas
S01008468	1	Urban Areas	1	Large Urban Areas
S01006650	1	Urban Areas	1	Large Urban Areas
S01006652	1	Urban Areas	1	Large Urban Areas
S01006608	1	Urban Areas	1	Large Urban Areas
S01010173	1	Urban Areas	1	Large Urban Areas
