GSS	urban_rural_2015
95AA01S1	Rural
95AA01S2	Mixed urban/rural
95AA01S3	Mixed urban/rural
95AA02W1	Urban
95AA03W1	Urban
95AA04W1	Mixed urban/rural
95AA05W1	Mixed urban/rural
95AA06S1	Mixed urban/rural
95AA06S2	Urban
95AA07W1	Mixed urban/rural
95AA08W1	Urban
95AA09W1	Urban
95AA10W1	Urban
95AA11S1	Urban
95AA11S2	Urban
95AA12W1	Rural
95AA13S1	Mixed urban/rural
95AA13S2	Urban
95AA14W1	Rural
95AA15S1	Urban
95AA15S2	Urban
95AA16W1	Urban
95AA17W1	Urban
95AA18W1	Rural
95AA19W1	Rural
95BB01S1	Rural
95BB01S2	Rural
95BB02W1	Mixed urban/rural
95BB03S1	Rural
95BB03S2	Rural
95BB04S1	Urban
95BB04S2	Mixed urban/rural
95BB05S1	Rural
95BB05S2	Rural
95BB06W1	Urban
95BB07S1	Urban
95BB07S2	Urban
95BB08S1	Urban
95BB08S2	Urban
95BB09S1	Mixed urban/rural
95BB09S2	Urban
95BB10S1	Urban
95BB10S2	Mixed urban/rural
95BB11S1	Urban
95BB11S2	Urban
95BB12S1	Urban
95BB12S2	Urban
95BB13S1	Urban
95BB13S2	Urban
95BB13S3	Urban
95BB14S1	Rural
95BB14S2	Rural
95BB15S1	Rural
95BB15S2	Rural
95BB16S1	Mixed urban/rural
95BB16S2	Mixed urban/rural
95BB17S1	Urban
95BB17S2	Mixed urban/rural
95BB18S1	Rural
95BB18S2	Mixed urban/rural
95BB19S1	Urban
95BB19S2	Urban
95BB19S3	Urban
95BB20S1	Rural
95BB20S2	Rural
95BB21S1	Rural
95BB21S2	Rural
95BB22S1	Urban
95BB22S2	Urban
95BB23S1	Urban
95BB23S2	Urban
95CC01W1	Urban
95CC02W1	Rural
95CC03W1	Urban
95CC04W1	Rural
95CC05W1	Rural
95CC06S1	Urban
95CC06S2	Urban
95CC07W1	Rural
95CC08W1	Urban
95CC09S1	Rural
95CC09S2	Rural
95CC10W1	Rural
95CC11W1	Rural
95CC12W1	Rural
95CC13W1	Rural
95CC14W1	Rural
95CC15W1	Rural
95CC16W1	Rural
95CC17W1	Rural
95CC18W1	Urban
95CC19W1	Rural
95CC20S1	Rural
95CC20S2	Rural
