project_id$museum_name$year$visitors$source$notes,,,,,,,,
0$1$2$3$4$5,,,,,,,,
mm.mgs.343$THE GRAND LODGE OF SCOTLAND$2002$9000$MA(fam)$,,,,,,,,
mm.domus.WA028$CEFN COED COLLIERY MUSEUM$2003$9200$MA(fam)$,,,,,,,,
mm.domus.SC044$CULROSS PALACE $2003$17850$MA(fam)$,,,,,,,,
mm.domus.SW046$LANGTON MATRAVERS MUSEUM$2003$1026$MA(fam)$AIM entry 'Langton Matravers Local History & Preservation Society',,,,,,,,
mm.domus.WA025$PENRHOS COTTAGE$2003$500$MA(fam)$,,,,,,,,
mm.domus.SE095$ROYAL ARMOURIES (FORT NELSON)$2003$72131$MA(fam)$Part of Royal Armouries,,,,,,,,
mm.aim.0882$SHOREHAM AIRCRAFT MUSEUM$2003$2000$MA(fam)$,,,,,,,,
mm.ace.1251$WEST STOW ANGLO-SAXON MUSEUM$2003$33207$MA(fam)$,,,,,,,,
mm.domus.SW116$WOTTON UNDER EDGE HERITAGE CENTRE$2003$7174$MA(fam)$AIM entry is 'Wotton under Edge Historical Society',,,,,,,,
mm.domus.YH154$ALDBOROUGH ROMAN TOWN$2004$6600$MA(fam)$,,,,,,,,
mm.domus.WA081$ANDREW LOGAN MUSEUM OF SCULPTURE$2004$4185$MA(fam) year stated$,,,,,,,,
mm.musa.008$ANGUS FOLK MUSEUM$2004$5400$MA(fam) year stated$,,,,,,,,
mm.domus.SW005$BATH POSTAL MUSEUM$2004$7300$MA(fam)$location change,,,,,,,,
mm.domus.NE005$BEDE'S WORLD$2004$76700$MA(fam)$,,,,,,,,
mm.ace.1112$BLANDFORD FASHION MUSEUM$2004$2750$MA(fam)$,,,,,,,,
mm.musa.058$BRENZETT AERONAUTICAL MUSEUM$2004$3000$MA(fam)$,,,,,,,,
mm.domus.YH153$BRODSWORTH HALL$2004$50510$MA(fam)$,,,,,,,,
mm.ace.1226$BYLAND ABBEY$2004$9830$MA(fam)$,,,,,,,,
mm.wiki.435$DYLAN THOMAS BOATHOUSE$2004$23000$MA(fam)$,,,,,,,,
mm.domus.NW078$GALLERY OLDHAM$2004$175500$MA(fam)$,,,,,,,,
mm.aim.0370$GERMAN OCCUPATION MUSEUM$2004$20000$MA(fam)$,,,,,,,,
mm.domus.SE026$HACKNEY MUSEUM$2004$35500$MA(fam)$,,,,,,,,
mm.domus.SE490$HASTINGS FISHERMEN'S MUSEUM$2004$148000$MA(fam)$,,,,,,,,
mm.domus.SW060$MARKET LAVINGTON MUSEUM$2004$653$MA(fam)$,,,,,,,,
mm.domus.YH076$NIDDERDALE MUSEUM$2004$6800$MA(fam)$,,,,,,,,
mm.musa.298$SALLY LUNN'S HISTORIC EATING HOUSE & MUSEUM$2004$78112$MA(fam)$,,,,,,,,
mm.aim.0858$SCOTLAND'S SECRET BUNKER$2004$50000-60000$MA(fam)$,,,,,,,,
mm.domus.WM099$SELLY MANOR MUSEUM$2004$16909$MA(fam)$,,,,,,,,
mm.domus.SC190$SESSION COTTAGE MUSEUM$2004$600$MA(fam)$AIM entry was for local society that controlled two museums. However, as the size designation was small it was deemed safe to apply this categorisation to both,,,,,,,
mm.musa.313$SITTINGBOURNE HERITAGE MUSEUM$2004$1000$MA(fam)$,,,,,,,,
mm.domus.SE452$SOLENT SKY MUSEUM$2004$30000$MA(fam)$name change,,,,,,,,
mm.musa.316$SOUTH TYNEDALE RAILWAY$2004$24000$MA(fam)$,,,,,,,,
mm.domus.SE606$SPITFIRE AND HURRICANE MEMORIAL BUILDING$2004$250000$MA(fam)$MA has 'RAF Manston Spitfire and Hurricane Memorial Trust',,,,,,,,
mm.musa.334$SWALEDALE MUSEUM$2004$3000$MA(fam)$,,,,,,,,
mm.musa.362$US GRANT ANCESTRAL HOMELAND$2004$4027$MA(fam)$MA and local council list this as US Grant Ancestral Homestead, not Homeland (http://www.midulstercouncil.org/Things-To-Do/Tourism-Heritage/Visitor-Attractions),,,,,,,
mm.musa.044$BERWICK BARRACKS$2005$75569$MA(fam)$,,,,,,,,
mm.ace.1235$BRADING ROMAN VILLA$2005$45000$MA(fam)$AIM entry was listed as 'Brading Roman Villa/Oglander Roman Trust',,,,,,,,
mm.domus.SE236$CHICHESTER DISTRICT MUSEUM$2005$29020$MA(fam)$,,,,,,,,
mm.domus.SC079$CLYDEBANK MUSEUM$2005$3500$MA(fam)$,,,,,,,,
mm.musa.096$CRAMPTON TOWER MUSEUM$2005$3621$MA(fam)$,,,,,,,,
mm.musa.102$DAN WINTERS HOUSE - ANCESTRAL HOME IN THE FARM YARD$2005$3191$MA(fam)$,,,,,,,,
mm.mgs.392$DOLLY MIXTURE$2005$10000$MA(fam)$,,,,,,,,
mm.domus.NI002$DOWN COUNTY MUSEUM$2005$43000$MA(fam)$,,,,,,,,
mm.domus.NW022$GUILDHALL MUSEUM, CARLISLE$2005$9126$MA(fam)$,,,,,,,
mm.musa.158$GWILI STEAM RAILWAY$2005$22571$MA(fam)$,,,,,,,,
mm.domus.SE148$HARLOW MUSEUM$2005$14000$MA(fam)$,,,,,,,,
mm.mgs.378$HILL OF TARVIT$2005$13000$MA(fam)$Not listed in most recent MGS accreditatation sheet,,,,,,,,
mm.hha.077$HOLKHAM HALL$2005$17500$MA(fam)$Bygones at Holkham Hall' included as a separate entry; figure here is for Holkham on MA site,,,,,,,,
mm.domus.SC243$HUNTERIAN MUSEUM, UNIVERSITY OF GLASGOW$2005$56232$MA(fam)$,,,,,,,
mm.musa.178$ILCHESTER MUSEUM$2005$596$MA(fam)$,,,,,,,,
mm.aim.0679$NATIONAL CYCLE MUSEUM$2005$7500$MA(fam)$,,,,,,,,
mm.domus.SC134$POLLOK HOUSE$2005$90902$MA(fam)$,,,,,,,,
mm.domus.SE092$RAMSEY RURAL MUSEUM$2005$11000$MA(fam)$,,,,,,,,
mm.wiki.372$RED HOUSE GLASS CONE$2005$20000$MA(fam)$,,,,,,,,
mm.domus.WA062$RHONDDA HERITAGE PARK$2005$53000$MA(fam)$,,,,,,,,
mm.domus.YH149$ROYAL ARMOURIES MUSEUM LEEDS$2005$301809$MA(fam)$Part of Royal Armouries,,,,,,,,
mm.domus.SE462$RYE ART GALLERY$2005$12000$MA(fam)$Two AIM entries but both note Small Museum,,,,,,,,
mm.domus.EM090$TATTERSHALL CASTLE$2005$33000$MA(fam)$MA lists as Guardhouse museum at Tattershall Castle,,,,,,,,
mm.aim.1111$THE MECHANICAL MUSIC MUSEUM & BYGONES$2005$2524$MA(fam)$,,,,,,,,
mm.musa.356$TOWN HALL CIVIC PLATE COLLECTION$2005$600$MA(fam)$,,,,,,,,
mm.domus.SC301$TRIMONTIUM MUSEUM$2005$4750$MA(fam)$DOMUS address and MGS address conflict. Retained DOMUS address as accurate,,,,,,,,
mm.domus.WM034$ACTON SCOTT WORKING FARM MUSEUM$2006$35000$MA(fam)$,,,,,,,,
mm.domus.WM140$ATTINGHAM PARK$2006$154000$MA(fam)$,,,,,,,,
mm.domus.YH032$BEDALE MUSEUM$2006$2048$MA(fam)$,,,,,,,,
mm.domus.SE199$BRENTWOOD MUSEUM$2006$1000$MA(fam)$,,,,,,,,
mm.domus.SE440$BUNGAY MUSEUM$2006$520$MA(fam)$,,,,,,,,
mm.mald.024$CANOLFAN Y PLASE$2006$3000$MA(fam)$,,,,,,,,
