project_id	mm_size
mm.ace.019	large
mm.ace.022	medium
mm.ace.023	medium
mm.ace.036	very_small
mm.ace.039	unknown
mm.ace.042	medium
mm.ace.045	medium
mm.ace.1085	large
mm.ace.1086	very_large
mm.ace.1087	very_large
mm.ace.1088	unknown
mm.ace.1089	large
mm.ace.1090	very_large
mm.ace.1091	large
mm.ace.1092	very_large
mm.ace.1093	large
mm.ace.1094	tiny
mm.ace.1096	tiny
mm.ace.1097	medium
mm.ace.1098	small
mm.ace.1099	small
mm.ace.1100	large
mm.ace.1101	medium
mm.ace.1102	unknown
mm.ace.1103	small
mm.ace.1104	very_large
mm.ace.1105	tiny
mm.ace.1106	unknown
mm.ace.1107	unknown
mm.ace.1108	unknown
mm.ace.1109	large
mm.ace.1110	small
mm.ace.1111	medium
mm.ace.1112	very_small
mm.ace.1113	unknown
mm.ace.1114	unknown
mm.ace.1115	large
mm.ace.1116	unknown
mm.ace.1117	small
mm.ace.1118	very_small
mm.ace.1119	unknown
mm.ace.1120	small
mm.ace.1121	unknown
mm.ace.1122	small
mm.ace.1123	small
mm.ace.1124	unknown
mm.ace.1125	small
mm.ace.1126	small
mm.ace.1127	very_large
mm.ace.1128	medium
mm.ace.1129	tiny
mm.ace.1131	huge
mm.ace.1132	very_small
mm.ace.1133	large
mm.ace.1134	unknown
mm.ace.1135	unknown
mm.ace.1136	huge
mm.ace.1137	very_small
mm.ace.1138	large
mm.ace.1139	small
mm.ace.1140	very_small
mm.ace.1141	unknown
mm.ace.1142	unknown
mm.ace.1143	unknown
mm.ace.1144	small
mm.ace.1145	small
mm.ace.1146	small
mm.ace.1147	small
mm.ace.1148	very_small
mm.ace.1149	very_large
mm.ace.1150	very_large
mm.ace.1151	unknown
mm.ace.1152	unknown
mm.ace.1153	medium
mm.ace.1154	unknown
mm.ace.1155	very_large
mm.ace.1156	unknown
mm.ace.1157	unknown
mm.ace.1158	very_small
mm.ace.1159	large
mm.ace.1160	large
mm.ace.1161	very_small
mm.ace.1162	unknown
mm.ace.1163	tiny
mm.ace.1164	small
mm.ace.1165	medium
mm.ace.1166	unknown
mm.ace.1167	unknown
mm.ace.1168	very_large
mm.ace.1169	unknown
mm.ace.1172	very_large
mm.ace.1173	very_large
mm.ace.1174	very_large
mm.ace.1175	very_large
mm.ace.1176	huge
mm.ace.1177	unknown
mm.ace.1178	unknown
mm.ace.1179	small
mm.ace.1180	very_large
mm.ace.1181	very_large
mm.ace.1182	small
mm.ace.1183	small
mm.ace.1186	unknown
mm.ace.1187	unknown
mm.ace.1189	unknown
mm.ace.1190	small
mm.ace.1191	tiny
mm.ace.1192	small
mm.ace.1193	small
mm.ace.1195	very_large
mm.ace.1197	very_large
mm.ace.1198	large
mm.ace.1199	small
mm.ace.1200	medium
mm.ace.1202	medium
mm.ace.1204	small
mm.ace.1205	very_large
mm.ace.1207	unknown
mm.ace.1208	medium
mm.ace.1209	medium
mm.ace.1210	very_small
mm.ace.1211	very_small
mm.ace.1212	unknown
mm.ace.1213	small
mm.ace.1214	small
mm.ace.1215	unknown
mm.ace.1216	unknown
mm.ace.1217	unknown
mm.ace.1220	medium
mm.ace.1221	unknown
mm.ace.1222	unknown
mm.ace.1223	very_large
mm.ace.1224	unknown
mm.ace.1225	medium
mm.ace.1226	small
mm.ace.1227	unknown
mm.ace.1228	medium
mm.ace.1229	unknown
mm.ace.1231	very_large
mm.ace.1233	very_small
mm.ace.1234	very_small
mm.ace.1235	medium
mm.ace.1236	very_small
mm.ace.1237	unknown
mm.ace.1238	unknown
mm.ace.1239	unknown
mm.ace.1240	unknown
mm.ace.1241	unknown
mm.ace.1242	unknown
mm.ace.1243	very_small
mm.ace.1244	very_small
mm.ace.1245	unknown
mm.ace.1246	very_large
mm.ace.1247	very_small
mm.ace.1248	tiny
mm.ace.1249	small
mm.ace.1250	very_small
mm.ace.1251	medium
mm.ace.1252	very_small
mm.ace.1253	large
mm.ace.1254	very_large
