project_id	size_simpl	size_simpl_source
domus.NE043	large	ace_size_designation
mm.ace.019	large	mm
mm.ace.022	medium	ma(fam)
mm.ace.023	medium	visitbritain
mm.ace.036	small	ma(fam)
mm.ace.039	large	ace_size_designation
mm.ace.042	medium	mm
mm.ace.045	medium	ma(fam)
mm.ace.1085	large	visitbritain
mm.ace.1086	large	visitbritain
mm.ace.1087	large	visitbritain
mm.ace.1088	medium	ace_size_designation
mm.ace.1089	large	visitbritain
mm.ace.1090	large	visitbritain
mm.ace.1091	large	visitbritain
mm.ace.1092	large	visitbritain
mm.ace.1093	large	visitbritain
mm.ace.1094	small	visitbritain
mm.ace.1096	small	visitbritain
mm.ace.1097	medium	mm
mm.ace.1098	small	ma(fam)
mm.ace.1099	small	visitbritain
mm.ace.1100	large	visitbritain
mm.ace.1101	medium	visitbritain
mm.ace.1102	small	aim_size_designation
mm.ace.1103	small	visitbritain
mm.ace.1104	large	visitbritain
mm.ace.1105	small	mm
mm.ace.1106	small	aim_size_designation
mm.ace.1107	small	ace_size_designation
mm.ace.1108	small	ace_size_designation
mm.ace.1109	large	visitbritain
mm.ace.1110	small	visitbritain
mm.ace.1111	medium	visitbritain
mm.ace.1112	small	ma(fam)
mm.ace.1113	small	aim_size_designation
mm.ace.1114	small	aim_size_designation
mm.ace.1115	large	visitbritain
mm.ace.1116	small	aim_size_designation
mm.ace.1117	small	mm
mm.ace.1118	small	ma(fam)
mm.ace.1119	small	aim_size_designation
mm.ace.1120	small	ma(fam)
mm.ace.1121	small	ace_size_designation
mm.ace.1122	small	visitbritain
mm.ace.1123	small	ma(fam)
mm.ace.1124	small	mm_prediction_random_forest
mm.ace.1125	small	visitbritain
mm.ace.1126	small	ma(fam)
mm.ace.1127	large	visitbritain
mm.ace.1128	medium	visitbritain
mm.ace.1129	small	ma(fam)
mm.ace.1131	large	visitbritain
mm.ace.1132	small	ma(fam)
mm.ace.1133	large	visitbritain
mm.ace.1134	medium	aim_size_designation
mm.ace.1135	medium	aim_size_designation
