project_id	size	size_wpred	size_source
mm.domus.NW158	medium	medium	domus
mm.misc.054	unknown_sz	unknown_sz	NA
mm.fcm.158	unknown_sz	unknown_sz	NA
mm.misc.070	unknown_sz	unknown_sz	NA
mm.domus.SE321	large	large	domus
mm.hha.194	unknown_sz	unknown_sz	NA
mm.misc.059	unknown_sz	unknown_sz	NA
mm.misc.060	unknown_sz	unknown_sz	NA
mm.domus.SE130	large	large	domus
mm.domus.NW184	unknown_sz	unknown_sz	NA
mm.musa.166	unknown_sz	unknown_sz	NA
mm.domus.NW186	unknown_sz	unknown_sz	NA
mm.fcm.197	unknown_sz	unknown_sz	NA
mm.aim.0478	small	small	aim_size_designation
mm.aim.0484	small	small	aim_size_designation
mm.aim82NM.091	unknown_sz	unknown_sz	NA
mm.domus.NW157	medium	medium	domus
mm.musa.182	unknown_sz	unknown_sz	NA
mm.aim82M.029	unknown_sz	unknown_sz	NA
mm.domus.NW185	unknown_sz	unknown_sz	NA
mm.fcm.145	unknown_sz	unknown_sz	NA
mm.domus.SE437	large	large	domus
mm.domus.SE438	medium	medium	domus
mm.misc.053	unknown_sz	unknown_sz	NA
mm.aim.0370	medium	medium	ma(fam)
mm.musa.264	small	small	ma(fam)
mm.musa.151	small	small	ma(fam)
mm.domus.NW194	unknown_sz	unknown_sz	NA
mm.domus.NW195	unknown_sz	unknown_sz	NA
mm.domus.SE128	large	large	domus
mm.domus.SE436	medium	medium	domus
mm.domus.SE571	unknown_sz	unknown_sz	NA
mm.domus.SE132	small	small	domus
mm.aim82NM.050	unknown_sz	unknown_sz	NA
mm.domus.NW155	large	large	domus
mm.MDN.012	unknown_sz	unknown_sz	NA
mm.domus.NW156	medium	medium	domus
mm.domus.SE127	medium	medium	domus
mm.aim.1068	small	small	aim_size_designation
mm.fcm.045	medium	medium	ma(fam)
mm.aim82M.028	unknown_sz	unknown_sz	NA
mm.domus.SE176	small	small	domus
mm.domus.NE024	small	small	domus
mm.misc.092	unknown_sz	large	mm_prediction_random_forest
mm.domus.NE080	large	large	ma(fam)
mm.ace.1224	small	small	aim_size_designation
mm.domus.NE079	large	large	ma(fam)
mm.domus.NE023	large	large	domus
mm.domus.NE015	small	small	domus
mm.ace.203	large	large	ma(fam)
mm.domus.NE014	medium	medium	domus
mm.domus.NE019	medium	medium	domus
mm.domus.NE018	medium	medium	domus
mm.domus.NE013	large	large	domus
mm.domus.NE012	medium	medium	domus
mm.domus.NE036	medium	medium	domus
mm.domus.NE038	large	large	domus
mm.misc.098	unknown_sz	medium	mm_prediction_random_forest
mm.domus.NE041	small	small	visitbritain
mm.musa.397	unknown_sz	small	mm_prediction_random_forest
mm.domus.NE082	medium	medium	visitbritain
mm.musa.387	unknown_sz	small	mm_prediction_random_forest
mm.domus.NE049	small	small	visitbritain
mm.domus.NE008	large	large	domus
mm.domus.NE007	medium	medium	domus
mm.domus.NE009	medium	medium	domus
mm.aim82M.044	unknown_sz	small	mm_prediction_random_forest
mm.domus.NE066	medium	medium	visitbritain
mm.domus.NE067	medium	medium	domus
mm.aim.1316	small	small	aim_size_designation
mm.ace.022	medium	medium	ma(fam)
mm.domus.NW095	medium	medium	domus
mm.aim.1295	small	small	aim_size_designation
mm.domus.NW055	small	small	domus
mm.ace.1244	small	small	mm
mm.domus.NW098	large	large	domus
mm.aim.0130	small	small	aim_size_designation
mm.aim.0778	medium	medium	aim_size_designation
mm.aim.0568	small	small	aim_size_designation
mm.domus.NW044	medium	medium	domus
mm.aim.0254	small	small	aim_size_designation
mm.domus.NW121	medium	medium	domus
mm.domus.NW122	small	small	domus
mm.misc.195	unknown_sz	small	mm_prediction_random_forest
mm.domus.NW054	medium	medium	domus
mm.wiki.238	unknown_sz	small	mm_prediction_random_forest
mm.domus.NW039	medium	medium	domus
mm.domus.YH136	large	large	domus
mm.domus.YH106	small	small	mm
mm.domus.YH138	medium	medium	domus
mm.wiki.097	small	small	visitbritain
mm.domus.YH140	medium	medium	domus
mm.wiki.102	unknown_sz	small	mm_prediction_random_forest
mm.domus.YH135	medium	medium	domus
mm.domus.YH137	medium	medium	domus
mm.domus.YH134	large	large	domus
mm.domus.YH133	large	large	visitbritain
mm.domus.YH082	small	small	domus
mm.ace.1118	small	small	ma(fam)
mm.domus.YH092	small	small	domus
mm.hha.120	large	large	ma(fam)
mm.domus.YH163	unknown_sz	small	mm_prediction_random_forest
mm.wiki.105	unknown_sz	small	mm_prediction_random_forest
mm.wiki.103	unknown_sz	medium	mm_prediction_random_forest
mm.domus.YH063	small	small	domus
mm.wiki.101	unknown_sz	small	mm_prediction_random_forest
mm.aim82NM.010	unknown_sz	small	mm_prediction_random_forest
mm.musa.036	small	small	visitbritain
mm.misc.162	unknown_sz	small	mm_prediction_random_forest
mm.domus.YH083	large	large	domus
mm.misc.099	unknown_sz	medium	mm_prediction_random_forest
mm.wiki.098	unknown_sz	small	mm_prediction_random_forest
mm.wiki.104	unknown_sz	small	mm_prediction_random_forest
mm.domus.YH071	small	small	domus
mm.MDN.006	unknown_sz	small	mm_prediction_random_forest
mm.aim82NM.103	unknown_sz	small	mm_prediction_random_forest
mm.domus.YH046	small	small	domus
mm.wiki.100	unknown_sz	small	mm_prediction_random_forest
mm.domus.YH169	small	small	ma(fam)
mm.hha.127	unknown_sz	small	mm_prediction_random_forest
mm.domus.YH168	medium	medium	ma(fam)
mm.domus.YH148	medium	medium	domus
mm.domus.YH058	small	small	domus
mm.ace.1221	small	small	aim_size_designation
mm.domus.YH162	unknown_sz	small	mm_prediction_random_forest
mm.Mus70Cal.011	unknown_sz	small	mm_prediction_random_forest
mm.ace.1140	small	small	ma(fam)
mm.domus.YH161	large	large	ma(fam)
mm.ace.1253	large	large	visitbritain
mm.wiki.264	unknown_sz	small	mm_prediction_random_forest
mm.wiki.259	unknown_sz	small	mm_prediction_random_forest
mm.ace.1271	medium	medium	ace_size_designation
mm.hha.093	unknown_sz	small	mm_prediction_random_forest
mm.ace.1141	small	small	aim_size_designation
mm.domus.YH033	medium	medium	domus
mm.domus.YH077	medium	medium	domus
mm.ace.1114	small	small	aim_size_designation
mm.domus.YH079	large	large	domus
mm.domus.YH094	large	large	domus
mm.domus.YH002	medium	medium	domus
mm.musa.228	unknown_sz	medium	mm_prediction_random_forest
mm.domus.YH155	large	large	visitbritain
mm.domus.YH048	large	large	domus
mm.MDN.009	unknown_sz	medium	mm_prediction_random_forest
mm.MDN.008	unknown_sz	large	mm_prediction_random_forest
mm.domus.YH145	large	large	visitbritain
mm.domus.YH064	medium	medium	domus
mm.ace.023	medium	medium	visitbritain
mm.domus.YH074	medium	medium	domus
mm.domus.YH103	medium	medium	ma(fam)
mm.wiki.305	unknown_sz	large	mm_prediction_random_forest
mm.domus.YH029	large	large	domus
mm.domus.YH069	small	small	domus
mm.domus.YH030	medium	medium	domus
mm.ace.164	large	large	ma(fam)
mm.domus.YH095	medium	medium	domus
mm.domus.YH096	large	large	domus
mm.domus.YH102	large	large	ma(fam)
mm.domus.YH150	unknown_sz	small	mm_prediction_random_forest
mm.aim.0774	small	small	aim_size_designation
mm.domus.YH031	medium	medium	domus
mm.wiki.306	medium	medium	visitbritain
mm.aim82NM.101	unknown_sz	small	mm_prediction_random_forest
mm.aim.0058	small	small	visitbritain
mm.domus.EM048	large	large	domus
mm.aim.0691	small	small	aim_size_designation
mm.domus.EM034	large	large	domus
mm.ace.1152	small	small	aim_size_designation
mm.wiki.070	unknown_sz	small	mm_prediction_random_forest
mm.domus.EM035	medium	medium	domus
mm.fcm.078	unknown_sz	small	mm_prediction_random_forest
mm.domus.EM036	medium	medium	domus
mm.Mus70Cal.014	unknown_sz	medium	mm_prediction_random_forest
mm.domus.EM067	large	large	domus
mm.domus.EM064	medium	medium	domus
mm.domus.EM105	large	large	ace_size_designation
mm.wiki.253	small	small	ma(fam)
mm.domus.EM066	medium	medium	domus
mm.misc.104	unknown_sz	small	mm_prediction_random_forest
mm.musa.252	large	large	ma(fam)
mm.domus.EM068	small	small	domus
mm.domus.EM112	small	small	aim_size_designation
mm.domus.EM063	medium	medium	domus
mm.wiki.249	unknown_sz	small	mm_prediction_random_forest
mm.domus.EM069	medium	medium	domus
mm.domus.EM065	medium	medium	domus
mm.wiki.316	unknown_sz	small	mm_prediction_random_forest
mm.domus.EM071	medium	medium	domus
mm.domus.EM072	medium	medium	domus
mm.domus.EM045	small	small	domus
mm.misc.015	unknown_sz	small	mm_prediction_random_forest
mm.ace.1237	small	small	aim_size_designation
mm.domus.EM016	large	large	domus
mm.domus.EM078	medium	medium	domus
mm.wiki.409	unknown_sz	small	mm_prediction_random_forest
mm.aim.1318	small	small	ma(fam)
mm.domus.EM019	large	large	domus
mm.domus.EM057	large	large	domus
mm.fcm.051	unknown_sz	small	mm_prediction_random_forest
mm.domus.EM021	medium	medium	domus
mm.domus.EM017	large	large	domus
mm.domus.EM023	medium	medium	domus
mm.aim82NM.072	unknown_sz	small	mm_prediction_random_forest
mm.domus.EM020	medium	medium	domus
mm.Mus70Cal.024	unknown_sz	medium	mm_prediction_random_forest
mm.domus.EM060	small	small	domus
mm.domus.EM018	large	large	domus
mm.wiki.202	medium	medium	visitbritain
mm.aim82NM.024	unknown_sz	small	mm_prediction_random_forest
mm.ace.1186	unknown_sz	small	mm_prediction_random_forest
mm.domus.WM097	small	small	domus
mm.wiki.204	unknown_sz	small	mm_prediction_random_forest
mm.ace.1091	large	large	visitbritain
mm.ace.1085	large	large	visitbritain
mm.aim.0784	small	small	aim_size_designation
mm.musa.366	unknown_sz	small	mm_prediction_random_forest
mm.wiki.203	unknown_sz	small	mm_prediction_random_forest
mm.domus.WM110	medium	medium	domus
mm.musa.323	unknown_sz	small	mm_prediction_random_forest
mm.musa.217	unknown_sz	small	mm_prediction_random_forest
mm.domus.WM093	small	small	domus
mm.domus.WM074	medium	medium	domus
mm.domus.WM144	small	small	aim_size_designation
mm.ace.1089	large	large	visitbritain
mm.wiki.201	unknown_sz	small	mm_prediction_random_forest
mm.domus.WM071	small	small	domus
mm.hha.105	small	small	visitbritain
mm.domus.WM109	unknown_sz	medium	mm_prediction_random_forest
mm.domus.WM108	large	large	ace_size_designation
mm.domus.WM129	medium	medium	domus
mm.domus.WM124	large	large	domus
mm.misc.107	unknown_sz	small	mm_prediction_random_forest
mm.ace.1122	medium	medium	visitbritain
mm.domus.WM126	large	large	domus
mm.ace.019	large	large	mm
mm.domus.WM127	medium	medium	domus
mm.misc.110	unknown_sz	small	mm_prediction_random_forest
mm.misc.108	unknown_sz	small	mm_prediction_random_forest
mm.domus.WM125	medium	medium	domus
mm.misc.109	unknown_sz	small	mm_prediction_random_forest
mm.domus.WM062	medium	medium	domus
mm.aim.1040	small	small	aim_size_designation
mm.aim82NM.075	unknown_sz	small	mm_prediction_random_forest
mm.MDN.029	unknown_sz	small	mm_prediction_random_forest
mm.aim.0606	medium	medium	aim_size_designation
mm.misc.031	unknown_sz	small	mm_prediction_random_forest
mm.domus.WM060	large	large	domus
mm.domus.WM061	small	small	domus
mm.wiki.344	unknown_sz	small	mm_prediction_random_forest
mm.domus.WM075	large	large	domus
mm.domus.WM054	medium	medium	domus
mm.aim82M.010	unknown_sz	medium	mm_prediction_random_forest
mm.domus.WM092	small	small	domus
mm.wiki.342	unknown_sz	small	mm_prediction_random_forest
mm.misc.051	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW052	large	large	domus
mm.domus.SW177	small	small	visitbritain
mm.domus.SW175	small	small	domus
mm.musa.298	large	large	ma(fam)
mm.domus.SW096	medium	medium	domus
mm.domus.SW099	small	small	domus
mm.domus.SW174	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW031	medium	medium	domus
mm.domus.SW049	large	large	domus
mm.aim82NM.077	unknown_sz	small	mm_prediction_random_forest
mm.aim82NM.021	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW107	medium	medium	visitbritain
mm.domus.SW082	medium	medium	domus
mm.domus.SW095	small	small	domus
mm.aim82NM.016	unknown_sz	small	mm_prediction_random_forest
mm.wiki.330	unknown_sz	small	mm_prediction_random_forest
mm.aim82NM.025	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW162	small	small	domus
mm.domus.SW192	medium	medium	domus
mm.domus.SW050	large	large	domus
mm.domus.SW005	small	small	domus
mm.aim.0220	small	small	aim_size_designation
mm.domus.SW004	small	small	domus
mm.aim82NM.108	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW127	large	large	domus
mm.domus.SW010	medium	medium	ma(fam)
mm.aim.0378	small	small	aim_size_designation
mm.domus.SW144	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW008	large	large	domus
mm.domus.SW011	medium	medium	domus
mm.domus.SW009	large	large	domus
mm.aim.1267	small	small	aim_size_designation
mm.fcm.114	unknown_sz	large	mm_prediction_random_forest
mm.ace.1097	medium	medium	mm
mm.hud.025	unknown_sz	medium	mm_prediction_random_forest
mm.aim82NM.085	unknown_sz	small	mm_prediction_random_forest
mm.wiki.009	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW043	small	small	domus
mm.ace.1256	large	large	ma(fam)
mm.hud.024	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW007	large	large	domus
mm.ace.1165	medium	medium	mm
mm.domus.SW012	medium	medium	domus
mm.domus.SW143	small	small	domus
mm.aim82NM.112	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW160	medium	medium	visitbritain
mm.wiki.328	unknown_sz	large	mm_prediction_random_forest
mm.domus.SW121	large	large	domus
mm.ace.1099	medium	medium	visitbritain
mm.aim82M.068	unknown_sz	small	mm_prediction_random_forest
mm.aim.0713	small	small	aim_size_designation
mm.wiki.325	unknown_sz	small	mm_prediction_random_forest
mm.aim82M.063	unknown_sz	large	mm_prediction_random_forest
mm.aim82NM.041	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW211	large	large	visitbritain
mm.musa.394	medium	medium	ma(fam)
mm.aim.0126	small	small	aim_size_designation
mm.aim82NM.031	unknown_sz	small	mm_prediction_random_forest
mm.aim.0044	medium	medium	visitbritain
mm.misc.182	unknown_sz	small	mm_prediction_random_forest
mm.ace.1124	unknown_sz	small	mm_prediction_random_forest
mm.domus.SW136	small	small	visitbritain
mm.hha.051	unknown_sz	small	mm_prediction_random_forest
mm.aim.0516	small	small	aim_size_designation
mm.domus.SW226	large	large	ace_size_designation
mm.domus.SW025	small	small	visitbritain
mm.domus.SW024	large	large	domus
mm.domus.SW241	large	large	visitbritain
