project_id	V_N	V_MIN	V_MAX	V_MEAN	V_SD	V_SUM	V_LAST_VAL	V_FIRST_YEAR	V_LAST_YEAR	V_SOURCE_MAIN	V_SOURCE_N
mm.ace.019	1	75442	75442	75442	NA	75442	75442	2016	2016	mm	1
mm.ace.022	1	31e3	31e3	31e3	NA	31e3	31e3	2010	2010	ma(fam)	1
mm.ace.023	6	44214	53280	48877.3	3550.7	293264	44214	2011	2016	visitbritain	2
mm.ace.036	2	1341	1500	1420.5	112.4	2841	1341	2010	2016	ma(fam)	2
mm.ace.042	1	38635	38635	38635	NA	38635	38635	2016	2016	mm	1
mm.ace.045	1	32607	32607	32607	NA	32607	32607	2013	2013	ma(fam)	1
mm.ace.1085	6	46436	54945	52043.2	3137.9	312259	54045	2011	2016	visitbritain	2
mm.ace.1086	6	167505	224281	191809	19878.8	1150854	224281	2011	2016	visitbritain	2
mm.ace.1087	6	118872	184459	140061.8	27556	840371	184459	2011	2016	visitbritain	2
mm.ace.1089	6	65239	92551	75602	9859.5	453612	92551	2011	2016	visitbritain	2
mm.ace.1090	6	86497	111822	102410.3	8515.5	614462	106058	2011	2016	visitbritain	2
mm.ace.1091	6	73441	102595	85369.2	12087.4	512215	102595	2011	2016	visitbritain	2
mm.ace.1092	6	144860	206516	175765	26568.4	1054590	206516	2011	2016	visitbritain	2
mm.ace.1093	7	72e3	80760	76475.6	3291.6	535329	77226	2011	2016	visitbritain	3
mm.ace.1094	6	134	3100	694.7	1180.5	4168	158	2011	2015	visitbritain	2
mm.ace.1096	6	820	1100	947.3	97.7	5684	914	2011	2015	visitbritain	2
mm.ace.1097	1	24415	24415	24415	NA	24415	24415	2016	2016	mm	1
mm.ace.1098	2	12073	13e3	12536.5	655.5	25073	12073	2012	2016	ma(fam)	2
mm.ace.1099	5	11531	13296	12301.6	676.4	61508	12021	2011	2015	visitbritain	1
mm.ace.1100	6	59275	95845	69381.8	14738.1	416291	95845	2011	2016	visitbritain	2
mm.ace.1101	6	26211	33091	30884.3	2569.7	185306	26211	2011	2016	visitbritain	2
mm.ace.1103	4	7725	8e3	7928	135.5	31712	7725	2012	2015	visitbritain	1
mm.ace.1104	8	64810	261181	199727.4	64334.9	1597819	185e3	2001	2015	visitbritain	2
mm.ace.1105	1	639	639	639	NA	639	639	2016	2016	mm	1
mm.ace.1109	5	47348	54293	52335.2	2937.7	261676	53894	2011	2015	visitbritain	1
mm.ace.1110	5	9539	12490	11292	1148.2	56460	12490	2011	2015	visitbritain	1
mm.ace.1111	5	33995	5e4	39992.8	6003.1	199964	39984	2011	2015	visitbritain	1
mm.ace.1112	1	2750	2750	2750	NA	2750	2750	2004	2004	ma(fam)	1
mm.ace.1115	6	62617	75152	70572.3	4473.5	423434	73159	2011	2015	visitbritain	2
mm.ace.1117	1	10567	10567	10567	NA	10567	10567	2016	2016	mm	1
mm.ace.1118	1	4e3	4e3	4e3	NA	4e3	4e3	2016	2016	ma(fam)	1
mm.ace.1120	1	12851	12851	12851	NA	12851	12851	2010	2010	ma(fam)	1
mm.ace.1122	5	17919	20348	18866.6	1177.2	94333	20348	2011	2015	visitbritain	1
mm.ace.1123	1	11692	11692	11692	NA	11692	11692	2010	2010	ma(fam)	1
mm.ace.1125	3	9793	12082	10728.3	1200.5	32185	9793	2013	2015	visitbritain	1
mm.ace.1126	1	17e3	17e3	17e3	NA	17e3	17e3	2009	2009	ma(fam)	1
mm.ace.1127	6	126316	158539	144302.8	13068.3	865817	152944	2011	2015	visitbritain	2
mm.ace.1128	4	29307	37610	32323.2	3750.6	129293	29307	2013	2016	visitbritain	2
mm.ace.1129	1	908	908	908	NA	908	908	2016	2016	ma(fam)	1
mm.ace.1131	5	824793	12e5	1030482.2	137718.5	5152411	1096608	2012	2015	visitbritain	2
