project_id	LSOA_GSS	combined_idx_dec	income	employment	education	health	crime	housing	services	country
mm.domus.SE118	E01026887	6	6	6	5	8	9	1	5	england
mm.domus.SE499	E01021084	5	4	4	5	5	6	6	8	england
mm.domus.EM073	E01025938	8	7	6	5	7	7	10	7	england
mm.domus.SE329	E01002865	8	10	10	10	10	4	1	5	england
mm.musa.002	E01004306	2	2	4	7	1	1	1	1	england
mm.MDN.025	W01000917	8	8	8	8	7	6	9	2	wales
mm.domus.SE524	E01000896	8	10	9	8	10	4	2	8	england
mm.wiki.007	E01017478	7	7	7	9	8	8	4	3	england
mm.wiki.280	E01026913	8	7	8	6	8	10	7	3	england
mm.wiki.504	E01030176	5	7	8	7	9	10	1	1	england
mm.wiki.254	E01026159	6	5	6	5	3	7	8	5	england
mm.wiki.475	S01010267	5	6	7	4	6	1	1	10	scotland
mm.wiki.295	E01027223	2	4	5	4	1	1	1	2	england
mm.domus.EM048	E01013479	1	2	1	3	1	1	1	4	england
mm.domus.SW230	E01019911	9	7	6	7	8	9	10	8	england
mm.wiki.059	E01019238	9	10	9	8	7	10	10	4	england
mm.domus.YH005	E01011488	3	4	5	5	3	1	2	7	england
mm.domus.EM066	E01013605	2	3	3	2	4	1	2	7	england
mm.domus.YH023	E01007932	10	9	10	10	8	9	7	5	england
mm.domus.NW025	E01019363	5	6	6	8	4	4	2	8	england
mm.hha.153	S01012377	8	8	8	9	9	5	8	1	scotland
mm.mald.001	W01001332	2	2	2	2	2	4	4	8	wales
mm.domus.WA094	W01000130	8	7	7	8	9	2	6	9	wales
mm.domus.SC002	S01006586	5	6	7	4	5	1	1	9	scotland
mm.domus.SC003	S01006589	6	6	7	4	7	1	1	9	scotland
mm.domus.SC187	S01006582	5	6	7	4	6	1	2	9	scotland
mm.domus.SC173	S01007064	7	7	7	6	9	7	9	1	scotland
mm.aim.0005	W01001557	5	4	4	7	6	1	4	7	wales
mm.aim.0006	W01001436	2	3	2	2	5	1	2	8	wales
mm.domus.WA066	W01000512	10	10	10	10	8	8	3	8	wales
mm.domus.SE170	E01033306	6	6	5	9	6	2	5	8	england
mm.domus.EM001	E01027135	7	7	6	8	7	3	3	9	england
mm.hha.051	E01014929	6	7	8	5	9	8	2	3	england
mm.domus.WM034	E01028990	5	8	10	7	9	10	1	1	england
mm.hha.130	E01018668	8	10	9	10	9	8	6	2	england
mm.domus.SE413	E01024015	8	9	10	9	10	10	4	2	england
mm.domus.SE171	E01023142	3	2	5	3	4	3	5	3	england
mm.domus.YH154	E01027644	9	7	9	8	8	10	6	6	england
mm.wiki.392	E01031841	9	7	10	6	9	9	8	4	england
mm.domus.SE172	E01030153	7	6	8	3	8	9	3	9	england
mm.domus.SE176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mm.domus.SE169	E01023136	8	9	9	6	5	8	6	7	england
mm.aim.0037	E01010241	8	8	9	7	7	7	4	7	england
mm.musa.006	E01033594	3	3	4	7	3	4	1	1	england
mm.domus.SW193	E01031884	6	8	8	8	8	3	5	1	england
mm.wiki.456	S01006883	9	7	8	9	10	7	7	10	scotland
mm.domus.EM003	E01026043	3	3	2	2	3	9	6	9	england
mm.misc.112	S01006883	9	7	8	9	10	7	7	10	scotland
mm.fcm.001	E01030282	6	6	6	2	6	8	5	10	england
mm.domus.EM059	E01027110	1	2	1	4	1	1	4	8	england
mm.aim.0014	E01032739	7	10	10	10	9	9	1	2	england
mm.domus.SE177	E01022576	5	3	5	4	5	6	7	6	england
mm.hha.117	E01027703	7	9	10	9	9	8	2	1	england
mm.domus.SW093	E01019932	4	3	3	4	4	4	4	6	england
mm.domus.SC013	S01013316	7	6	8	7	7	7	6	4	scotland
mm.aim.0710	E01027358	6	5	5	4	6	7	10	8	england
mm.aim.0018	E01029801	6	9	9	5	8	10	1	1	england
mm.hha.094	E01026998	9	10	10	9	10	10	2	2	england
mm.domus.SC016	S01011976	8	6	7	8	8	7	7	9	scotland
mm.domus.SE415	E01031626	7	8	8	7	9	6	3	2	england
mm.misc.084	95LL14S1	1	5	1	1	1	4	2	7	northern_ireland
mm.aim.0021	E01017741	8	6	6	8	9	7	10	9	england
mm.domus.SE578	E01017745	10	9	9	10	10	7	8	4	england
mm.domus.WA005	W01000513	7	10	10	7	6	1	1	9	wales
mm.domus.WA101	W01000494	7	8	8	7	6	7	7	2	wales
mm.mgs.388	S01007284	5	6	6	7	7	10	4	1	scotland
mm.domus.SE007	E01004765	4	6	6	9	6	3	1	2	england
mm.domus.SC220	S01006669	6	6	5	9	4	2	1	9	scotland
mm.domus.SC293	S01008673	6	7	7	6	7	1	1	8	scotland
mm.domus.WM103	E01029701	3	4	4	4	2	3	1	6	england
mm.domus.SE116	E01026468	4	5	5	2	4	3	5	8	england
mm.domus.SE178	E01023202	4	3	4	3	3	3	7	7	england
mm.domus.SC068	S01009309	6	5	5	8	7	4	5	9	scotland
mm.domus.NI030	95HH03W1	9	10	8	7	9	7	8	6	northern_ireland
mm.domus.WA081	W01000428	7	8	9	7	9	9	7	1	wales
mm.domus.SE539	E01018011	7	8	8	9	8	10	5	1	england
