project_id	OA_GSS	country_name	region_gss	region_name	lad16_gss	lad16_name	OA_GSS	RUC_CODE
mm.domus.SE118	E00136748	England	E12000006	East of England	E07000149	South Norfolk	E00136748	F1
mm.domus.SE499	E00107097	England	E12000008	South East	E07000064	Rother	E00107097	D1
mm.domus.EM073	E00131624	England	E12000004	East Midlands	E07000134	North West Leicestershire	E00131624	C1
mm.domus.SE329	E00014385	England	E12000007	London	E09000020	Kensington and Chelsea	E00014385	A1
mm.musa.002	E00021680	England	E12000007	London	E09000030	Tower Hamlets	E00021680	A1
mm.MDN.025	W00004880	Wales	W92000004	Wales	W06000012	Neath Port Talbot	W00004880	E1
mm.domus.SE524	E00004420	England	E12000007	London	E09000007	Camden	E00004420	A1
mm.wiki.007	E00088250	England	E12000006	East of England	E06000055	Bedford	E00088250	E1
mm.wiki.280	E00136890	England	E12000006	East of England	E07000149	South Norfolk	E00136890	F1
mm.wiki.504	E00153862	England	E12000006	East of England	E07000205	Suffolk Coastal	E00153862	F1
mm.wiki.254	E00132841	England	E12000004	East Midlands	E07000138	Lincoln	E00132841	C1
mm.wiki.475	S00112183	Scotland	S92000003	Scotland	S12000046	Glasgow City	S00112183	NA
mm.wiki.295	E00138486	England	E12000004	East Midlands	E07000154	Northampton	E00138486	C1
mm.domus.EM048	E00171187	England	E12000004	East Midlands	E06000015	Derby	E00171187	C1
mm.domus.SW230	E00100773	England	E12000009	South West	E07000040	East Devon	E00100773	C1
mm.wiki.059	E00097248	England	E12000002	North West	E07000028	Carlisle	E00097248	C1
mm.domus.YH005	E00057873	England	E12000003	Yorkshire and The Humber	E08000035	Leeds	E00057873	A1
mm.domus.EM066	E00068661	England	E12000004	East Midlands	E06000016	Leicester	E00068661	C1
mm.domus.YH023	E00040173	England	E12000003	Yorkshire and The Humber	E08000019	Sheffield	E00040173	B1
mm.domus.NW025	E00097883	England	E12000002	North West	E07000031	South Lakeland	E00097883	C1
mm.hha.153	S00094916	Scotland	S92000003	Scotland	S12000026	Scottish Borders	S00094916	NA
mm.mald.001	W00006987	Wales	W92000004	Wales	W06000018	Caerphilly	W00006987	D1
mm.domus.WA094	W00000691	Wales	W92000004	Wales	W06000003	Conwy	W00000691	D1
mm.domus.SC002	S00088986	Scotland	S92000003	Scotland	S12000033	Aberdeen City	S00088986	NA
mm.domus.SC003	S00090676	Scotland	S92000003	Scotland	S12000033	Aberdeen City	S00090676	NA
mm.domus.SC187	S00090575	Scotland	S92000003	Scotland	S12000033	Aberdeen City	S00090575	NA
mm.domus.SC173	S00091037	Scotland	S92000003	Scotland	S12000034	Aberdeenshire	S00091037	NA
mm.aim.0005	W00008119	Wales	W92000004	Wales	W06000021	Monmouthshire	W00008119	C1
mm.aim.0006	W00007505	Wales	W92000004	Wales	W06000019	Blaenau Gwent	W00007505	C1
mm.domus.WA066	W00010054	Wales	W92000004	Wales	W06000008	Ceredigion	W00010054	C2
mm.domus.SE170	E00146109	England	E12000008	South East	E07000180	Vale of White Horse	E00146109	C1
mm.domus.EM001	E00138038	England	E12000004	East Midlands	E07000154	Northampton	E00138038	C1
mm.hha.051	E00075430	England	E12000009	South West	E06000025	South Gloucestershire	E00075430	E1
mm.domus.WM034	E00147633	England	E12000005	West Midlands	E06000051	Shropshire	E00147633	F2
mm.hha.130	E00094205	England	E12000002	North West	E06000049	Cheshire East	E00094205	E1
mm.domus.SE413	E00121917	England	E12000008	South East	E07000105	Ashford	E00121917	E1
mm.domus.SE171	E00117585	England	E12000008	South East	E07000092	Rushmoor	E00117585	C1
mm.domus.YH154	E00140780	England	E12000003	Yorkshire and The Humber	E07000165	Harrogate	E00140780	F1
mm.wiki.392	E00162385	England	E12000009	South West	E06000054	Wiltshire	E00162385	D1
mm.domus.SE172	E00153728	England	E12000006	East of England	E07000205	Suffolk Coastal	E00153728	D2
