UNIT_GSS	VAR	VAL	n_museums
E06000001	all	all	4
E06000002	all	all	4
E06000003	all	all	6
E06000004	all	all	1
E06000005	all	all	2
E06000006	all	all	3
E06000007	all	all	6
E06000008	all	all	3
E06000009	all	all	2
E06000010	all	all	10
E06000011	all	all	24
E06000012	all	all	3
E06000013	all	all	10
E06000014	all	all	23
E06000015	all	all	8
E06000016	all	all	11
E06000017	all	all	3
E06000018	all	all	12
E06000019	all	all	20
E06000020	all	all	11
E06000021	all	all	9
E06000022	all	all	20
E06000023	all	all	12
E06000024	all	all	6
E06000025	all	all	8
E06000026	all	all	5
E06000027	all	all	6
E06000030	all	all	6
E06000031	all	all	6
E06000032	all	all	3
E06000033	all	all	6
E06000034	all	all	4
E06000035	all	all	9
E06000036	all	all	1
E06000037	all	all	3
E06000038	all	all	4
E06000039	all	all	1
E06000040	all	all	9
E06000041	all	all	4
E06000042	all	all	7
E06000043	all	all	12
E06000044	all	all	13
E06000045	all	all	6
E06000046	all	all	30
E06000047	all	all	17
E06000049	all	all	25
E06000050	all	all	9
E06000051	all	all	24
E06000052	all	all	77
E06000053	all	all	2
E06000054	all	all	42
E06000055	all	all	9
E06000056	all	all	11
E06000057	all	all	32
E06000058	all	all	8
E06000059	all	all	51
E07000004	all	all	13
E07000005	all	all	7
E07000006	all	all	1
E07000007	all	all	4
E07000008	all	all	15
E07000009	all	all	8
E07000010	all	all	6
E07000011	all	all	9
E07000012	all	all	5
E07000026	all	all	10
E07000027	all	all	2
E07000028	all	all	8
E07000029	all	all	5
E07000030	all	all	7
E07000031	all	all	21
E07000032	all	all	8
E07000033	all	all	4
E07000034	all	all	3
E07000035	all	all	20
E07000036	all	all	1
E07000037	all	all	3
E07000038	all	all	1
E07000039	all	all	6
E07000040	all	all	14
E07000041	all	all	5
E07000042	all	all	6
E07000043	all	all	10
E07000044	all	all	12
E07000045	all	all	14
E07000046	all	all	8
E07000047	all	all	10
E07000061	all	all	7
E07000062	all	all	6
E07000063	all	all	13
E07000064	all	all	11
E07000065	all	all	10
E07000066	all	all	3
E07000067	all	all	13
E07000068	all	all	3
E07000069	all	all	4
E07000070	all	all	7
E07000071	all	all	11
E07000072	all	all	4
E07000073	all	all	2
E07000074	all	all	7
E07000075	all	all	2
E07000076	all	all	8
E07000077	all	all	9
E07000078	all	all	2
E07000079	all	all	12
E07000080	all	all	6
E07000081	all	all	4
E07000082	all	all	8
E07000083	all	all	13
E07000084	all	all	7
E07000085	all	all	7
E07000086	all	all	2
E07000087	all	all	3
E07000088	all	all	7
E07000089	all	all	0
E07000090	all	all	2
E07000091	all	all	11
E07000092	all	all	4
E07000093	all	all	7
E07000094	all	all	19
E07000095	all	all	1
E07000096	all	all	4
E07000098	all	all	4
E07000099	all	all	6
E07000102	all	all	1
E07000103	all	all	2
E07000105	all	all	8
E07000106	all	all	10
E07000107	all	all	2
E07000108	all	all	13
E07000109	all	all	4
E07000110	all	all	10
E07000111	all	all	13
E07000112	all	all	8
E07000113	all	all	13
E07000114	all	all	9
E07000115	all	all	2
E07000116	all	all	7
E07000117	all	all	4
E07000118	all	all	2
E07000119	all	all	5
E07000120	all	all	1
E07000121	all	all	11
E07000122	all	all	4
E07000123	all	all	3
E07000124	all	all	5
E07000125	all	all	4
E07000126	all	all	4
E07000127	all	all	1
E07000128	all	all	2
E07000129	all	all	0
E07000130	all	all	6
E07000131	all	all	7
E07000132	all	all	3
E07000133	all	all	2
E07000134	all	all	11
E07000135	all	all	1
E07000136	all	all	1
E07000137	all	all	14
E07000138	all	all	7
E07000139	all	all	10
E07000140	all	all	7
E07000141	all	all	7
E07000142	all	all	4
E07000143	all	all	8
E07000144	all	all	5
E07000145	all	all	8
E07000146	all	all	9
E07000147	all	all	25
E07000148	all	all	8
E07000149	all	all	11
E07000150	all	all	2
E07000151	all	all	8
E07000152	all	all	7
E07000153	all	all	6
E07000154	all	all	6
E07000155	all	all	3
E07000156	all	all	5
E07000163	all	all	4
E07000164	all	all	9
E07000165	all	all	13
E07000166	all	all	7
E07000167	all	all	15
E07000168	all	all	12
E07000169	all	all	0
E07000170	all	all	1
E07000171	all	all	5
E07000172	all	all	2
E07000173	all	all	3
E07000174	all	all	1
E07000175	all	all	9
E07000176	all	all	5
E07000177	all	all	5
E07000178	all	all	11
E07000179	all	all	13
E07000180	all	all	9
E07000181	all	all	15
E07000187	all	all	10
E07000188	all	all	6
E07000189	all	all	14
E07000192	all	all	1
E07000193	all	all	4
E07000194	all	all	8
E07000195	all	all	5
E07000196	all	all	4
E07000197	all	all	8
E07000198	all	all	9
E07000199	all	all	1
E07000200	all	all	8
E07000202	all	all	5
E07000203	all	all	7
E07000207	all	all	2
E07000208	all	all	1
E07000209	all	all	15
E07000210	all	all	4
E07000211	all	all	3
E07000212	all	all	2
E07000213	all	all	2
E07000214	all	all	4
E07000215	all	all	2
E07000216	all	all	6
E07000217	all	all	2
E07000218	all	all	1
E07000219	all	all	4
E07000220	all	all	5
E07000221	all	all	17
E07000222	all	all	13
E07000223	all	all	2
E07000224	all	all	5
E07000225	all	all	16
E07000226	all	all	2
E07000227	all	all	8
E07000228	all	all	8
E07000229	all	all	1
E07000234	all	all	4
E07000235	all	all	5
E07000236	all	all	2
E07000237	all	all	8
E07000238	all	all	7
E07000239	all	all	5
E07000240	all	all	5
E07000241	all	all	4
E07000242	all	all	8
E07000243	all	all	2
E07000244	all	all	32
E07000245	all	all	11
E07000246	all	all	18
E08000001	all	all	6
E08000002	all	all	3
E08000003	all	all	21
E08000004	all	all	2
E08000005	all	all	4
E08000006	all	all	4
E08000007	all	all	6
E08000008	all	all	4
E08000009	all	all	4
E08000010	all	all	5
E08000011	all	all	1
E08000012	all	all	20
E08000013	all	all	4
E08000014	all	all	4
E08000015	all	all	6
E08000016	all	all	8
E08000017	all	all	6
E08000018	all	all	3
E08000019	all	all	12
E08000021	all	all	10
E08000022	all	all	4
E08000023	all	all	4
E08000024	all	all	7
E08000025	all	all	22
E08000026	all	all	7
E08000027	all	all	7
E08000028	all	all	7
E08000029	all	all	3
E08000030	all	all	4
E08000031	all	all	5
E08000032	all	all	15
E08000033	all	all	8
E08000034	all	all	10
E08000035	all	all	21
E08000036	all	all	11
E08000037	all	all	1
E09000001	all	all	11
E09000002	all	all	1
E09000003	all	all	4
E09000004	all	all	3
E09000005	all	all	1
E09000006	all	all	4
E09000007	all	all	26
E09000008	all	all	1
E09000009	all	all	2
E09000010	all	all	2
E09000011	all	all	10
E09000012	all	all	5
E09000013	all	all	5
E09000014	all	all	2
E09000015	all	all	4
E09000016	all	all	2
E09000017	all	all	3
E09000018	all	all	9
E09000019	all	all	9
E09000020	all	all	13
E09000021	all	all	2
E09000022	all	all	6
E09000023	all	all	1
E09000024	all	all	6
E09000025	all	all	1
E09000026	all	all	1
E09000027	all	all	14
E09000028	all	all	17
E09000029	all	all	4
E09000030	all	all	10
E09000031	all	all	3
E09000032	all	all	2
E09000033	all	all	39
N09000001	all	all	3
N09000002	all	all	18
N09000003	all	all	14
N09000004	all	all	7
N09000005	all	all	5
N09000006	all	all	8
N09000007	all	all	4
N09000008	all	all	9
N09000009	all	all	8
N09000010	all	all	4
N09000011	all	all	5
S12000005	all	all	2
S12000006	all	all	35
S12000008	all	all	10
S12000010	all	all	11
S12000011	all	all	1
S12000013	all	all	13
S12000014	all	all	5
S12000017	all	all	58
S12000018	all	all	2
S12000019	all	all	5
S12000020	all	all	15
S12000021	all	all	12
S12000023	all	all	13
S12000026	all	all	31
S12000027	all	all	16
S12000028	all	all	8
S12000029	all	all	13
S12000030	all	all	6
S12000033	all	all	10
S12000034	all	all	31
S12000035	all	all	28
S12000036	all	all	40
S12000038	all	all	7
S12000039	all	all	4
S12000040	all	all	11
S12000041	all	all	15
S12000042	all	all	9
S12000045	all	all	3
S12000047	all	all	23
S12000048	all	all	17
S12000049	all	all	23
S12000050	all	all	7
W06000001	all	all	12
W06000002	all	all	24
W06000003	all	all	11
W06000004	all	all	15
W06000005	all	all	5
W06000006	all	all	7
W06000008	all	all	13
W06000009	all	all	15
W06000010	all	all	15
W06000011	all	all	7
W06000012	all	all	6
W06000013	all	all	2
W06000014	all	all	4
W06000015	all	all	7
W06000016	all	all	6
W06000018	all	all	4
W06000019	all	all	5
W06000020	all	all	5
W06000021	all	all	8
W06000022	all	all	3
W06000023	all	all	25
W06000024	all	all	3
E06000001	governance_simpl	government	3
E06000001	governance_simpl	independent	1
E06000001	governance_simpl	university	0
E06000001	governance_simpl	unknown_gov	0
E06000002	governance_simpl	government	4
E06000002	governance_simpl	independent	0
E06000002	governance_simpl	university	0
E06000002	governance_simpl	unknown_gov	0
E06000003	governance_simpl	government	1
E06000003	governance_simpl	independent	5
E06000003	governance_simpl	university	0
E06000003	governance_simpl	unknown_gov	0
E06000004	governance_simpl	government	1
E06000004	governance_simpl	independent	0
E06000004	governance_simpl	university	0
E06000004	governance_simpl	unknown_gov	0
E06000005	governance_simpl	government	1
E06000005	governance_simpl	independent	1
E06000005	governance_simpl	university	0
E06000005	governance_simpl	unknown_gov	0
E06000006	governance_simpl	government	0
