museum_id	country_gss	country_name	region_gss	region_name
mm.New.1	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.aim.1230	E92000001	England	E12000009	South West
mm.domus.WM019	E92000001	England	E12000005	West Midlands
mm.aim.0484	NA	NA	NA	NA
mm.aim.0485	E92000001	England	E12000009	South West
mm.aim.0486	E92000001	England	E12000007	London
mm.domus.SC275	S92000003	Scotland	S92000003	Scotland
mm.domus.SC274	S92000003	Scotland	S92000003	Scotland
mm.domus.SC277	S92000003	Scotland	S92000003	Scotland
mm.domus.SC276	S92000003	Scotland	S92000003	Scotland
mm.domus.SC271	S92000003	Scotland	S92000003	Scotland
mm.domus.SC270	S92000003	Scotland	S92000003	Scotland
mm.domus.SC273	S92000003	Scotland	S92000003	Scotland
mm.fcm.102	E92000001	England	E12000009	South West
mm.aim.0710	E92000001	England	E12000001	North East
mm.aim.0713	E92000001	England	E12000009	South West
mm.wiki.188	E92000001	England	E12000002	North West
mm.wiki.189	E92000001	England	E12000002	North West
mm.aim.0244	E92000001	England	E12000007	London
mm.aim.0245	E92000001	England	E12000007	London
mm.wiki.184	E92000001	England	E12000007	London
mm.domus.SC279	S92000003	Scotland	S92000003	Scotland
mm.wiki.186	E92000001	England	E12000007	London
mm.wiki.187	E92000001	England	E12000002	North West
mm.wiki.180	E92000001	England	E12000007	London
mm.wiki.181	E92000001	England	E12000007	London
mm.wiki.182	E92000001	England	E12000007	London
mm.wiki.183	E92000001	England	E12000007	London
mm.domus.YH104	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH105	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.WM059	E92000001	England	E12000005	West Midlands
mm.domus.WM058	E92000001	England	E12000005	West Midlands
mm.wiki.218	E92000001	England	E12000008	South East
mm.domus.YH101	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.SC189	S92000003	Scotland	S92000003	Scotland
mm.domus.SC188	S92000003	Scotland	S92000003	Scotland
mm.domus.SC187	S92000003	Scotland	S92000003	Scotland
mm.wiki.215	E92000001	England	E12000008	South East
mm.domus.WM051	E92000001	England	E12000005	West Midlands
mm.wiki.217	E92000001	England	E12000008	South East
mm.wiki.210	E92000001	England	E12000006	East of England
mm.wiki.211	E92000001	England	E12000008	South East
mm.domus.SC181	S92000003	Scotland	S92000003	Scotland
mm.wiki.213	E92000001	England	E12000008	South East
mm.ace.1221	E92000001	England	E12000003	Yorkshire and The Humber
mm.ace.1220	E92000001	England	E12000002	North West
mm.ace.1223	E92000001	England	E12000008	South East
mm.ace.1222	E92000001	England	E12000007	London
mm.ace.1225	E92000001	England	E12000003	Yorkshire and The Humber
mm.ace.1224	E92000001	England	E12000001	North East
mm.ace.1227	E92000001	England	E12000003	Yorkshire and The Humber
mm.ace.1226	E92000001	England	E12000003	Yorkshire and The Humber
mm.ace.1229	E92000001	England	E12000005	West Midlands
mm.ace.1228	E92000001	England	E12000003	Yorkshire and The Humber
mm.New.3	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.misc.227	S92000003	Scotland	S92000003	Scotland
mm.aim.0393	E92000001	England	E12000002	North West
mm.wiki.434	W92000004	Wales	W92000004	Wales
mm.wiki.435	W92000004	Wales	W92000004	Wales
mm.wiki.436	W92000004	Wales	W92000004	Wales
mm.ace.1158	E92000001	England	E12000008	South East
mm.wiki.430	W92000004	Wales	W92000004	Wales
mm.wiki.431	W92000004	Wales	W92000004	Wales
mm.wiki.432	W92000004	Wales	W92000004	Wales
mm.ace.1153	E92000001	England	E12000008	South East
mm.ace.1152	E92000001	England	E12000004	East Midlands
mm.ace.1151	E92000001	England	E12000006	East of England
mm.ace.1150	E92000001	England	E12000007	London
mm.wiki.438	W92000004	Wales	W92000004	Wales
mm.ace.1156	E92000001	England	E12000007	London
mm.ace.1155	E92000001	England	E12000007	London
mm.ace.1154	E92000001	England	E12000009	South West
mm.mgs.369	S92000003	Scotland	S92000003	Scotland
mm.aim.1289	E92000001	England	E12000007	London
mm.misc.223	S92000003	Scotland	S92000003	Scotland
mm.domus.SC272	S92000003	Scotland	S92000003	Scotland
mm.aim.1281	W92000004	Wales	W92000004	Wales
mm.aim.0803	E92000001	England	E12000006	East of England
mm.wiki.500	E92000001	England	E12000006	East of England
mm.wiki.501	E92000001	England	E12000008	South East
mm.domus.SC079	S92000003	Scotland	S92000003	Scotland
mm.ace.1086	E92000001	England	E12000005	West Midlands
mm.wiki.504	E92000001	England	E12000006	East of England
mm.wiki.505	E92000001	England	E12000006	East of England
mm.domus.YH112	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.SC073	S92000003	Scotland	S92000003	Scotland
mm.domus.SC072	S92000003	Scotland	S92000003	Scotland
mm.domus.SC071	S92000003	Scotland	S92000003	Scotland
mm.domus.SC070	S92000003	Scotland	S92000003	Scotland
mm.ace.1089	E92000001	England	E12000005	West Midlands
mm.domus.SC076	S92000003	Scotland	S92000003	Scotland
mm.domus.SC075	S92000003	Scotland	S92000003	Scotland
mm.domus.SC074	S92000003	Scotland	S92000003	Scotland
mm.domus.SE598	E92000001	England	E12000008	South East
mm.domus.SE599	E92000001	England	E12000008	South East
mm.domus.SE592	E92000001	England	E12000006	East of England
mm.domus.SE593	E92000001	England	E12000006	East of England
mm.domus.SE590	E92000001	England	E12000006	East of England
mm.domus.SE591	E92000001	England	E12000006	East of England
mm.domus.SE596	E92000001	England	E12000006	East of England
mm.domus.SE597	E92000001	England	E12000008	South East
mm.domus.SE595	E92000001	England	E12000006	East of England
mm.wiki.185	E92000001	England	E12000007	London
mm.wiki.384	E92000001	England	E12000003	Yorkshire and The Humber
mm.aim.0249	S92000003	Scotland	S92000003	Scotland
mm.domus.YH079	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH074	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH075	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH076	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH077	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH070	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH071	E92000001	England	E12000003	Yorkshire and The Humber
mm.domus.YH072	E92000001	England	E12000003	Yorkshire and The Humber
mm.wiki.288	E92000001	England	E12000006	East of England
mm.nimc.009	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.nimc.006	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.nimc.007	N92000002	Northern Ireland	N92000002	Northern Ireland
mm.musa.326	E92000001	England	E12000009	South West
mm.musa.327	E92000001	England	E12000007	London
mm.musa.325	E92000001	England	E12000001	North East
mm.musa.322	E92000001	England	E12000009	South West
mm.musa.323	E92000001	England	E12000005	West Midlands
mm.musa.320	E92000001	England	E12000008	South East
mm.musa.321	E92000001	England	E12000007	London
mm.domus.WM008	E92000001	England	E12000005	West Midlands
mm.musa.328	E92000001	England	E12000006	East of England
mm.musa.329	E92000001	England	E12000004	East Midlands
mm.domus.NW069	E92000001	England	E12000002	North West
mm.domus.NW068	E92000001	England	E12000002	North West
mm.misc.203	E92000001	England	E12000008	South East
mm.domus.SE105	E92000001	England	E12000006	East of England
mm.aim82NM.068	S92000003	Scotland	S92000003	Scotland
mm.aim82NM.064	E92000001	England	E12000006	East of England
mm.aim82NM.065	S92000003	Scotland	S92000003	Scotland
