project_id	OA2011_GSS
mm.ace.019	E00071294
mm.ace.022	E00062769
mm.ace.023	E00067494
mm.ace.036	E00017538
mm.ace.039	E00001600
mm.ace.042	E00010503
mm.ace.045	E00171152
mm.ace.1085	E00168514
mm.ace.1086	E00159498
mm.ace.1087	E00165216
mm.ace.1088	E00172263
mm.ace.1089	E00071186
mm.ace.1090	E00159021
mm.ace.1091	E00070653
mm.ace.1092	E00159156
mm.ace.1093	E00092995
mm.ace.1094	E00034620
mm.ace.1096	E00145223
mm.ace.1097	E00174243
mm.ace.1098	E00119906
mm.ace.1099	E00074519
mm.ace.1100	E00008020
mm.ace.1101	E00004527
mm.ace.1102	E00083877
mm.ace.1103	E00098187
mm.ace.1104	E00175614
mm.ace.1105	E00136014
mm.ace.1106	E00131578
mm.ace.1107	E00130489
mm.ace.1108	E00173309
mm.ace.1109	E00092672
mm.ace.1110	E00097637
mm.ace.1111	E00114846
mm.ace.1112	E00103572
mm.ace.1113	E00141111
mm.ace.1114	E00066822
mm.ace.1115	E00087609
mm.ace.1116	E00082908
mm.ace.1117	E00138875
mm.ace.1118	E00065937
mm.ace.1119	E00039189
mm.ace.1120	E00109624
mm.ace.1121	E00110725
mm.ace.1122	E00071379
mm.ace.1123	E00118200
mm.ace.1124	E00075774
mm.ace.1125	E00175708
mm.ace.1126	E00117110
mm.ace.1127	E00118991
mm.ace.1128	E00098101
mm.ace.1129	E00023936
mm.ace.1131	E00024112
mm.ace.1132	E00133121
mm.ace.1133	E00100587
mm.ace.1134	E00004559
mm.ace.1135	E00023816
mm.ace.1136	E00019773
mm.ace.1137	E00119749
mm.ace.1138	E00043528
mm.ace.1139	E00045075
mm.ace.1140	E00066499
mm.ace.1141	E00066814
mm.ace.1142	E00162911
mm.ace.1143	E00153798
mm.ace.1144	E00038111
mm.ace.1145	E00150452
mm.ace.1146	E00057788
mm.ace.1147	E00140551
mm.ace.1148	E00139849
mm.ace.1149	E00008149
mm.ace.1150	E00014127
mm.ace.1151	E00111298
mm.ace.1152	E00068058
mm.ace.1153	E00168131
mm.ace.1154	E00103008
mm.ace.1155	E00021458
mm.ace.1156	E00014862
mm.ace.1157	E00116992
mm.ace.1158	E00167528
mm.ace.1159	E00089664
mm.ace.1160	E00090806
mm.ace.1161	E00152228
mm.ace.1162	E00172408
mm.ace.1163	E00155228
mm.ace.1164	E00106777
mm.ace.1165	E00073417
mm.ace.1166	E00163845
mm.ace.1167	E00169746
mm.ace.1168	E00094928
mm.ace.1169	E00176027
mm.ace.1172	E00175226
mm.ace.1173	E00092006
mm.ace.1174	E00031187
mm.ace.1175	E00019239
mm.ace.1176	E00019239
mm.ace.1177	E00023945
mm.ace.1178	E00111203
mm.ace.1179	E00172172
mm.ace.1180	E00167159
mm.ace.1181	E00052348
mm.ace.1182	E00106028
mm.ace.1183	E00029152
mm.ace.1186	E00070891
mm.ace.1187	E00108517
mm.ace.1189	E00139190
mm.ace.1190	E00020719
mm.ace.1191	E00020682
mm.ace.1192	E00020633
mm.ace.1193	E00001912
mm.ace.1195	E00105566
mm.ace.1197	E00175556
mm.ace.1198	E00157853
mm.ace.1199	E00112733
mm.ace.1200	E00131011
mm.ace.1202	E00126455
mm.ace.1204	E00119771
mm.ace.1205	E00125914
mm.ace.1207	E00164810
mm.ace.1208	E00175767
mm.ace.1209	E00135900
mm.ace.1210	E00146014
mm.ace.1211	E00000026
mm.ace.1212	E00111521
mm.ace.1213	E00172899
mm.ace.1214	E00084117
mm.ace.1215	E00083768
mm.ace.1216	E00133482
mm.ace.1217	E00154017
mm.ace.1220	E00036141
mm.ace.1221	E00065498
mm.ace.1222	E00019365
mm.ace.1223	E00086047
mm.ace.1224	E00060491
mm.ace.1225	E00141096
mm.ace.1226	E00141449
mm.ace.1227	E00141965
mm.ace.1228	E00141483
mm.ace.1229	E00150286
mm.ace.1231	E00033012
mm.ace.1233	E00115932
mm.ace.1234	E00087410
mm.ace.1235	E00087315
mm.ace.1236	E00131694
mm.ace.1237	E00173533
mm.ace.1238	E00098769
mm.ace.1239	E00137824
mm.ace.1240	E00147640
mm.ace.1241	E00172354
mm.ace.1242	E00147140
mm.ace.1243	E00168346
mm.ace.1244	E00062808
mm.ace.1245	E00175825
mm.ace.1246	E00172920
mm.ace.1247	E00176619
mm.ace.1248	E00078357
mm.ace.1249	E00153363
mm.ace.1250	E00080688
mm.ace.1251	E00153632
mm.ace.1252	E00153637
mm.ace.1253	E00066907
mm.ace.1254	E00021628
mm.ace.1255	E00028381
mm.ace.1256	E00174310
mm.ace.1257	E00057873
mm.ace.1258	E00019542
mm.ace.1259	E00117437
mm.ace.1260	E00106137
mm.ace.1261	E00086586
mm.ace.1262	E00133436
mm.ace.1263	E00151172
mm.ace.1264	E00139293
mm.ace.1265	E00023811
mm.ace.1266	E00095091
mm.ace.1267	E00088195
mm.ace.1268	E00144391
mm.ace.127	E00128803
mm.ace.1270	E00160563
mm.ace.1271	E00066911
mm.ace.1273	E00173186
mm.ace.1274	E00176650
mm.ace.1275	E00133377
mm.ace.1276	E00141997
mm.ace.1277	E00090928
mm.ace.1278	E00175378
mm.ace.1280	E00137637
mm.ace.1282	E00077282
mm.ace.1283	E00172272
mm.ace.1284	E00095508
mm.ace.1285	E00136190
mm.ace.1286	E00131558
mm.ace.1287	E00089769
mm.ace.1288	E00150079
mm.ace.1291	E00095324
mm.ace.1292	E00019662
mm.ace.1293	E00137346
mm.ace.135	E00127391
mm.ace.164	E00067490
mm.ace.203	E00060875
mm.ace.266	E00143188
mm.ace.324	E00173640
mm.ace.327	E00133848
mm.ace.333	E00147398
mm.ace.380	E00173773
mm.ace.390	E00150441
mm.ace.399	E00176509
mm.ace.413	E00135278
mm.ace.436	E00172150
mm.ace.504	E00119086
mm.ace.516	E00166435
mm.ace.569	E00082921
mm.ace.685	E00168730
mm.ace.713	E00135949
mm.aim.0001	E00088496
mm.aim.0005	W00008119
mm.aim.0006	W00007505
mm.aim.0014	E00000035
mm.aim.0018	E00151855
mm.aim.0021	E00089523
mm.aim.0025	E00110339
mm.aim.0036	E00175707
mm.aim.0037	E00168248
mm.aim.0038	E00145715
mm.aim.0040	S00126311
mm.aim.0042	E00162727
mm.aim.0044	E00075118
mm.aim.0046	E00030011
mm.aim.0049	E00134671
mm.aim.0050	S00129783
mm.aim.0052	W00005083
mm.aim.0054	E00139293
mm.aim.0057	E00166755
mm.aim.0058	E00067746
mm.aim.0060	W00000245
mm.aim.0062	E00102765
mm.aim.0067	E00153206
mm.aim.0074	E00125505
mm.aim.0077	E00087289
mm.aim.0079	E00023936
mm.aim.0081	E00011126
mm.aim.0098	E00102328
mm.aim.0099	N00001444
mm.aim.0105	E00160289
mm.aim.0107	E00133573
mm.aim.0109	E00102501
mm.aim.0110	E00110265
mm.aim.0112	E00176111
mm.aim.0117	E00116922
mm.aim.0126	E00075339
mm.aim.0127	E00082570
mm.aim.0129	E00096015
mm.aim.0130	E00062813
mm.aim.0135	E00035475
mm.aim.0140	E00015477
mm.aim.0141	E00153730
mm.aim.0147	W00007566
mm.aim.0150	E00107097
mm.aim.0155	E00115741
mm.aim.0158	E00136071
mm.aim.0159	W00001060
mm.aim.0160	E00133943
mm.aim.0161	S00119032
mm.aim.0165	E00004559
mm.aim.0167	E00141830
mm.aim.0172	E00165577
mm.aim.0173	E00137954
mm.aim.0174	E00051180
mm.aim.0179	E00098116
mm.aim.0181	E00090801
mm.aim.0188	E00007931
mm.aim.0191	E00159346
mm.aim.0200	E00167709
mm.aim.0204	S00094040
mm.aim.0207	E00113177
mm.aim.0211	E00101896
mm.aim.0213	E00108598
mm.aim.0215	E00136434
mm.aim.0217	E00108645
mm.aim.0218	E00108688
mm.aim.0219	E00121974
mm.aim.0220	E00072667
mm.aim.0222	E00146702
mm.aim.0227	S00119159
mm.aim.0228	S00135238
mm.aim.0231	E00137108
mm.aim.0234	E00112721
mm.aim.0236	E00172174
mm.aim.0238	E00160632
mm.aim.0244	E00008370
mm.aim.0245	E00156039
mm.aim.0249	S00111060
mm.aim.0254	E00063780
mm.aim.0262	E00087327
mm.aim.0265	E00135471
mm.aim.0269	E00133022
mm.aim.0280	E00049371
mm.aim.0282	S00098199
mm.aim.0283	S00099806
mm.aim.0284	S00117704
mm.aim.0287	S00098982
mm.aim.0288	S00094581
mm.aim.0292	S00094576
mm.aim.0295	E00124933
mm.aim.0300	E00147796
mm.aim.0302	W00007623
mm.aim.0304	W00001029
mm.aim.0307	E00117267
mm.aim.0310	E00119561
mm.aim.0314	E00009672
mm.aim.0317	E00007029
mm.aim.0335	E00107868
mm.aim.0336	E00141760
mm.aim.0337	E00172419
mm.aim.0338	E00156191
mm.aim.0340	W00010117
mm.aim.0342	E00078989
mm.aim.0350	E00136810
mm.aim.0351	E00167385
mm.aim.0353	E00145964
mm.aim.0358	E00075983
mm.aim.0370	S00097126
mm.aim.0373	S00112166
mm.aim.0378	E00174323
mm.aim.0382	E00165005
mm.aim.0389	E00112129
mm.aim.0393	E00027755
