project_id	size	size_source	size_simpl	size_simpl_source
domus.NE043	large	ace_size_designation	large	ace_size_designation
mm.ace.019	large	mm	large	mm
mm.ace.022	medium	ma(fam)	medium	ma(fam)
mm.ace.023	medium	visitbritain	medium	visitbritain
mm.ace.036	very_small	ma(fam)	small	ma(fam)
mm.ace.039	large	ace_size_designation	large	ace_size_designation
mm.ace.042	medium	mm	medium	mm
mm.ace.045	medium	ma(fam)	medium	ma(fam)
mm.ace.1085	large	visitbritain	large	visitbritain
mm.ace.1086	very_large	visitbritain	large	visitbritain
mm.ace.1087	very_large	visitbritain	large	visitbritain
mm.ace.1088	medium	ace_size_designation	medium	ace_size_designation
mm.ace.1089	large	visitbritain	large	visitbritain
mm.ace.1090	very_large	visitbritain	large	visitbritain
mm.ace.1091	large	visitbritain	large	visitbritain
mm.ace.1092	very_large	visitbritain	large	visitbritain
mm.ace.1093	large	visitbritain	large	visitbritain
mm.ace.1094	tiny	visitbritain	small	visitbritain
mm.ace.1096	tiny	visitbritain	small	visitbritain
mm.ace.1097	medium	mm	medium	mm
mm.ace.1098	small	ma(fam)	small	ma(fam)
mm.ace.1099	small	visitbritain	small	visitbritain
mm.ace.1100	large	visitbritain	large	visitbritain
mm.ace.1101	medium	visitbritain	medium	visitbritain
mm.ace.1102	small	aim_size_designation	small	aim_size_designation
mm.ace.1103	small	visitbritain	small	visitbritain
mm.ace.1104	very_large	visitbritain	large	visitbritain
mm.ace.1105	tiny	mm	small	mm
mm.ace.1106	small	aim_size_designation	small	aim_size_designation
mm.ace.1107	small	ace_size_designation	small	ace_size_designation
mm.ace.1108	small	ace_size_designation	small	ace_size_designation
mm.ace.1109	large	visitbritain	large	visitbritain
mm.ace.1110	small	visitbritain	small	visitbritain
mm.ace.1111	medium	visitbritain	medium	visitbritain
mm.ace.1112	very_small	ma(fam)	small	ma(fam)
mm.ace.1113	small	aim_size_designation	small	aim_size_designation
mm.ace.1114	small	aim_size_designation	small	aim_size_designation
mm.ace.1115	large	visitbritain	large	visitbritain
mm.ace.1116	small	aim_size_designation	small	aim_size_designation
mm.ace.1117	small	mm	small	mm
mm.ace.1118	very_small	ma(fam)	small	ma(fam)
mm.ace.1119	small	aim_size_designation	small	aim_size_designation
mm.ace.1120	small	ma(fam)	small	ma(fam)
mm.ace.1121	small	ace_size_designation	small	ace_size_designation
mm.ace.1122	small	visitbritain	small	visitbritain
mm.ace.1123	small	ma(fam)	small	ma(fam)
mm.ace.1124	unknown	unknown	unknown_sz	unknown
mm.ace.1125	small	visitbritain	small	visitbritain
mm.ace.1126	small	ma(fam)	small	ma(fam)
mm.ace.1127	very_large	visitbritain	large	visitbritain
mm.ace.1128	medium	visitbritain	medium	visitbritain
mm.ace.1129	tiny	ma(fam)	small	ma(fam)
mm.ace.1131	huge	visitbritain	huge	visitbritain
mm.ace.1132	very_small	ma(fam)	small	ma(fam)
mm.ace.1133	large	visitbritain	large	visitbritain
mm.ace.1134	medium	aim_size_designation	medium	aim_size_designation
mm.ace.1135	medium	aim_size_designation	medium	aim_size_designation
mm.ace.1136	huge	visitbritain	huge	visitbritain
mm.ace.1137	very_small	visitbritain	small	visitbritain
mm.ace.1138	large	visitbritain	large	visitbritain
mm.ace.1139	small	ma(fam)	small	ma(fam)
mm.ace.1140	very_small	ma(fam)	small	ma(fam)
mm.ace.1141	small	aim_size_designation	small	aim_size_designation
mm.ace.1142	medium	ace_size_designation	medium	ace_size_designation
mm.ace.1143	small	aim_size_designation	small	aim_size_designation
mm.ace.1144	small	visitbritain	small	visitbritain
mm.ace.1145	small	visitbritain	small	visitbritain
mm.ace.1146	small	visitbritain	small	visitbritain
mm.ace.1147	small	visitbritain	small	visitbritain
mm.ace.1148	very_small	mm	small	mm
mm.ace.1149	very_large	ma(fam)	large	ma(fam)
mm.ace.1150	very_large	visitbritain	large	visitbritain
mm.ace.1151	small	aim_size_designation	small	aim_size_designation
mm.ace.1152	small	aim_size_designation	small	aim_size_designation
mm.ace.1153	medium	ma(fam)	medium	ma(fam)
mm.ace.1154	small	ace_size_designation	small	ace_size_designation
mm.ace.1155	very_large	visitbritain	large	visitbritain
mm.ace.1156	medium	ace_size_designation	medium	ace_size_designation
mm.ace.1157	small	aim_size_designation	small	aim_size_designation
mm.ace.1158	very_small	ma(fam)	small	ma(fam)
mm.ace.1159	large	visitbritain	large	visitbritain
mm.ace.1160	large	ma(fam)	large	ma(fam)
mm.ace.1161	very_small	visitbritain	small	visitbritain
mm.ace.1162	large	ace_size_designation	large	ace_size_designation
mm.ace.1163	tiny	mm	small	mm
mm.ace.1164	small	mm	small	mm
mm.ace.1165	medium	mm	medium	mm
mm.ace.1166	small	ace_size_designation	small	ace_size_designation
mm.ace.1167	small	ace_size_designation	small	ace_size_designation
mm.ace.1168	very_large	visitbritain	large	visitbritain
mm.ace.1169	medium	ace_size_designation	medium	ace_size_designation
mm.ace.1172	very_large	visitbritain	large	visitbritain
mm.ace.1173	very_large	visitbritain	large	visitbritain
mm.ace.1174	very_large	visitbritain	large	visitbritain
mm.ace.1175	very_large	visitbritain	large	visitbritain
mm.ace.1176	huge	visitbritain	huge	visitbritain
mm.ace.1177	large	ace_size_designation	large	ace_size_designation
mm.ace.1178	small	aim_size_designation	small	aim_size_designation
mm.ace.1179	small	ma(fam)	small	ma(fam)
mm.ace.1180	very_large	visitbritain	large	visitbritain
mm.ace.1181	very_large	ma(fam)	large	ma(fam)
mm.ace.1182	small	ma(fam)	small	ma(fam)
mm.ace.1183	small	visitbritain	small	visitbritain
mm.ace.1186	unknown	unknown	unknown_sz	unknown
mm.ace.1187	unknown	unknown	unknown_sz	unknown
mm.ace.1189	small	aim_size_designation	small	aim_size_designation
mm.ace.1190	small	ma(fam)	small	ma(fam)
mm.ace.1191	tiny	ma(fam)	small	ma(fam)
mm.ace.1192	small	ma(fam)	small	ma(fam)
mm.ace.1193	small	ma(fam)	small	ma(fam)
mm.ace.1195	very_large	visitbritain	large	visitbritain
mm.ace.1197	very_large	ma(fam)	large	ma(fam)
mm.ace.1198	large	visitbritain	large	visitbritain
mm.ace.1199	small	ma(fam)	small	ma(fam)
mm.ace.1200	medium	mm	medium	mm
mm.ace.1202	medium	visitbritain	medium	visitbritain
mm.ace.1204	small	visitbritain	small	visitbritain
mm.ace.1205	very_large	visitbritain	large	visitbritain
mm.ace.1207	small	aim_size_designation	small	aim_size_designation
mm.ace.1208	medium	visitbritain	medium	visitbritain
mm.ace.1209	medium	visitbritain	medium	visitbritain
mm.ace.1210	very_small	visitbritain	small	visitbritain
mm.ace.1211	very_small	visitbritain	small	visitbritain
