sm_indep,sm_indep_100k,local_auth,local_auth_100k,national,national_100k,region
-0.1,0.2,0.1,0.3,-1,-1.3,East Midlands
1,0.8,-0.1,-0.6,-0.7,-0.9,East of England
-0.4,-1.1,-1.1,-2,2.6,1.5,London
-1.4,-1.2,-1.1,0.3,-0.7,-0.3,North East
-0.6,-1,0.3,-0.6,0.8,0.4,North West
-1.2,-0.4,-1.8,-0.5,-0.3,1.2,z_Northern Ireland
1.6,1.9,1.3,1.3,0.6,0.8,z_Scotland
1.3,0.1,1.2,-0.5,-0.1,-0.6,South East
1.1,1.3,-0.3,-0.5,-0.5,-0.7,South West
-0.4,0.6,-0.2,1.5,0.3,1.4,z_Wales
-0.4,-0.6,0.4,0.1,-0.7,-0.9,West Midlands
-0.5,-0.6,1.3,1.2,-0.5,-0.6,Yorkshire and The Humber
