archaeology,arts,belief_and_identity,buildings,communications,food_and_drink,industry_and_manufacture,leisure_and_sport,local_histories,medicine_and_health,mixed,natural_world,other,personality,rural_industry,science_and_technology,sea_and_seafaring,services,transport,utilities,war_and_conflict,region
-0.1,-1.2,-0.9,-0.3,-0.8,-1.2,0.5,-0.4,-0.2,-0.6,-0.1,-0.7,-1,-1.1,0.6,1.7,-1.2,-1.6,0.8,0.6,-0.1,East Midlands
0.6,-0.4,-0.4,-0,-0.1,0.7,-0.6,-0.2,0.7,-0.4,-0.7,0.5,-0.8,-0.1,0.4,0.9,0.9,1.7,0.8,1.1,1.3,East of England
-1,1.6,0.4,-0.4,2.2,-0.2,-0.9,1.3,-0.8,3,-1,-0.2,1.8,0.7,-1,0.2,-0.7,-0.5,-1.4,0.6,-0.6,London
0.1,-1.1,-0.9,-1.5,-0.8,-1.2,-0.9,-1.6,-1.1,-0.6,-0.9,-0.7,-0.8,-1.5,-0.8,-1.3,-0.6,-1,-1,-0.4,-0.8,North East
-0.1,0.5,0.8,0.1,-0.8,0.7,1.2,0.3,-0.6,-0.4,1,-0.9,1.5,-0.3,-0.8,-0.6,-0.3,0.6,-0.3,-1.3,-0.6,North West
1.5,0.5,0.4,1.3,-0.8,0.7,-1,1.8,1.2,-0.2,1.5,1.9,0.9,0.3,2.2,0.9,0.8,1.7,1.6,1.1,2.6,South East
0.3,0.2,-0.2,1.8,1.5,1.7,1.2,0.1,1.2,-0.2,0.6,0.7,0.7,0.4,0.4,-0.6,0.9,0,1.4,1.1,-0.1,South West
-0.6,0.7,-0.7,-0.1,-0.1,0.7,1.5,0.1,-0.5,-0.4,0.4,-0.4,-0.2,-0.1,-0.5,0.2,-1.2,-0.5,-0.1,1.1,-0.6,West Midlands
-0.1,0.4,0.2,-0.1,-0.1,-1.2,-0.1,-0.7,-0.6,-0.2,1,-0.7,-1,-0.1,-0.1,0.2,0,0,-0.3,-1.3,-0.3,Yorkshire and The Humber
-1.5,-1.7,-0.9,-1.4,-0.8,-1.2,-1.3,-1.4,-1,-0.6,-1,-0.9,-0.8,-0.5,-0.8,-1.3,-1,-0.5,-1.4,-0.8,-0.8,z1_Northern Ireland
1.9,1.1,2.6,1.1,0.7,0.7,-0.6,0.8,1.9,0.6,0.7,1.9,0.1,2.5,1.2,0.9,1.9,0.6,-0.1,-0.8,0.3,z2_Scotland
-1,-0.5,-0.4,-0.6,-0.1,-0.2,0.9,-0.2,-0.2,-0.4,-1.6,-0.4,-0.5,-0.3,-0.8,-1.3,0.5,-0.5,-0.2,-0.8,-0.5,z3_Wales
