mark,avg_L,max_L,avg_LZ
/Government/Cadw,198054,287824,0.7
/Government/Local Authority,148438,266799,-0.2
/Government/National,202541,253423,0.8
/Government/Other,0,0,-2.9
/Independent/English Heritage,180777,304561,0.4
/Independent/Historic Environment Scotland,161938,302967,0.1
/Independent/National Trust,160135,295890,0
/Independent/National Trust for Scotland,243345,385378,1.6
/Independent/Not for profit,155611,280927,-0.1
/Independent/Private,143216,265653,-0.3
/Independent/Unknown,151087,277143,-0.1
/University,186278,288250,0.5
/Unknown,140103,250326,-0.3
all,149028,270139,-0.2
