mark1,mark2,avg_L,sdev_L,max_L,avg_LZ
all,all,148732,74602,270563,-0.6
large,all,154630,74754.6,275748,0.6
medium,all,151167,75723.4,275388,-0.1
small,all,146626,73462.7,267016,-1
all,large,154863,75018.5,276744,0.6
large,large,162659,75793.4,284386,2.2
medium,large,158021,77436.6,283634,1.3
small,large,150479,74234.8,271151,-0.2
all,medium,151362,75937.3,276254,-0.1
large,medium,157960,77363.2,283370,1.3
medium,medium,153992,77954,281957,0.5
small,medium,147540,75207.1,271389,-0.8
all,small,146466,73284.7,266316,-1
large,small,150094,73801.9,269510,-0.3
medium,small,147176,74806.6,269777,-0.9
small,small,144384,73074.9,263612,-1.4
