mark1,mark2,avg_L,sdev_L,max_L,avg_LZ
all,all,148667,74322.2,270037,-0.3
archaeology,all,145594,75606.5,270158,-0.5
arts,all,157864,71566.2,274387,0.2
belief_and_identity,all,143972,67359,255435,-0.5
buildings,all,150416,75447,272599,-0.2
communications,all,162136,66193.7,268975,0.4
food_and_drink,all,150006,73012.5,272882,-0.2
industry_and_manufacture,all,149645,73983.8,270653,-0.2
leisure_and_sport,all,160625,74525.8,279831,0.3
local_histories,all,144151,74667,265959,-0.5
medicine_and_health,all,180549,67363.8,288730,1.4
mixed,all,149561,75134.8,270161,-0.2
natural_world,all,149335,73621.2,271359,-0.3
personality,all,147536,70220.8,263364,-0.4
rural_industry,all,144432,76903,269169,-0.5
science_and_technology,all,162813,81845.7,297547,0.5
sea_and_seafaring,all,123059,63529,234317,-1.7
services,all,155384,73458.7,273393,0.1
transport,all,149855,77361.4,276739,-0.2
utilities,all,159117,80663.2,292085,0.3
war_and_conflict,all,150553,76005,275608,-0.2
all,archaeology,145811,75934.4,271987,-0.4
archaeology,archaeology,148065,74118.7,271298,-0.3
arts,archaeology,150998,76807.8,280251,-0.2
belief_and_identity,archaeology,141531,69628.5,258649,-0.7
buildings,archaeology,147506,77897.2,275087,-0.4
communications,archaeology,152945,71134.2,269957,-0.1
food_and_drink,archaeology,146153,78077,273839,-0.4
industry_and_manufacture,archaeology,141463,76266.2,268015,-0.7
leisure_and_sport,archaeology,151260,79543.2,283035,-0.2
local_histories,archaeology,140633,76182.6,265714,-0.7
medicine_and_health,archaeology,170730,78967.2,301561,0.9
mixed,archaeology,144658,77166,274333,-0.5
natural_world,archaeology,149748,76669.4,276966,-0.2
personality,archaeology,145609,74448.8,268377,-0.5
rural_industry,archaeology,141857,77671.7,269491,-0.7
science_and_technology,archaeology,162072,80289.1,296277,0.4
sea_and_seafaring,archaeology,117747,62872.1,228625,-2
services,archaeology,144659,78738,277706,-0.5
transport,archaeology,147177,78814.1,277305,-0.4
utilities,archaeology,158390,82380.6,295352,0.2
war_and_conflict,archaeology,148987,77224.8,277197,-0.3
all,arts,158519,72190.3,275951,0.2
archaeology,arts,151679,77414.6,280676,-0.1
arts,arts,173364,66879.8,283202,1
belief_and_identity,arts,157300,65171.3,264767,0.2
buildings,arts,159640,74807.1,278757,0.3
communications,arts,179727,55511.5,273265,1.4
food_and_drink,arts,152686,66322.6,270534,-0.1
industry_and_manufacture,arts,163055,73674.7,283411,0.5
leisure_and_sport,arts,174632,70094.5,283947,1.1
local_histories,arts,148935,74382.8,268210,-0.3
medicine_and_health,arts,202659,53226.3,289887,2.6
mixed,arts,162158,76074.2,281352,0.4
natural_world,arts,156225,69429.7,269680,0.1
personality,arts,158762,67119.8,270265,0.2
rural_industry,arts,147013,80100,271570,-0.4
science_and_technology,arts,171031,81132.7,307784,0.9
sea_and_seafaring,arts,126289,63658.9,237349,-1.5
services,arts,169208,70324.1,279729,0.8
transport,arts,157749,78357.7,284352,0.2
utilities,arts,164060,78754.8,291719,0.5
war_and_conflict,arts,157868,75468.1,280514,0.2
all,belief_and_identity,144330,67687.7,256444,-0.5
archaeology,belief_and_identity,141798,69856.3,258582,-0.7
arts,belief_and_identity,156912,64800.2,264069,0.1
belief_and_identity,belief_and_identity,140472,63282.5,248496,-0.7
buildings,belief_and_identity,145010,69726.8,258463,-0.5
communications,belief_and_identity,158867,54136.9,247676,0.3
food_and_drink,belief_and_identity,142233,63042.6,254541,-0.6
industry_and_manufacture,belief_and_identity,144430,69881.4,258939,-0.5
leisure_and_sport,belief_and_identity,156751,65748.7,264084,0.1
local_histories,belief_and_identity,136421,69286.7,249871,-1
medicine_and_health,belief_and_identity,179623,52222.3,269888,1.4
mixed,belief_and_identity,148006,71231.9,262127,-0.3
natural_world,belief_and_identity,141742,67639.2,252061,-0.7
personality,belief_and_identity,144413,64164.6,253426,-0.5
rural_industry,belief_and_identity,135403,73137.3,253715,-1
science_and_technology,belief_and_identity,153361,73430.2,279478,-0
sea_and_seafaring,belief_and_identity,120656,61930.1,227238,-1.8
services,belief_and_identity,153934,66453.2,260316,-0
transport,belief_and_identity,142790,72579.1,261808,-0.6
utilities,belief_and_identity,148085,70965.2,266702,-0.3
war_and_conflict,belief_and_identity,145192,69457,260210,-0.5
all,buildings,151007,76069.5,274786,-0.2
archaeology,buildings,147864,78182.5,275459,-0.3
arts,buildings,159725,74953.1,279830,0.3
belief_and_identity,buildings,145297,70053.9,259829,-0.5
buildings,buildings,153281,77731.2,278124,-0
communications,buildings,161603,69846.5,273626,0.4
food_and_drink,buildings,153103,76163,280222,-0.1
industry_and_manufacture,buildings,154721,78752.8,281384,0
leisure_and_sport,buildings,162193,77004.8,284571,0.4
local_histories,buildings,145067,76547.8,269648,-0.5
medicine_and_health,buildings,178200,69601.7,289320,1.3
mixed,buildings,153339,78191.3,276752,-0
natural_world,buildings,149259,76133,275623,-0.3
personality,buildings,148882,72109.5,267315,-0.3
rural_industry,buildings,144811,78778.6,272080,-0.5
science_and_technology,buildings,164631,84307.2,302801,0.6
sea_and_seafaring,buildings,118776,65027.9,233341,-1.9
services,buildings,154812,75661.1,274889,0
transport,buildings,152456,80292.7,282454,-0.1
utilities,buildings,159914,82864.9,297071,0.3
war_and_conflict,buildings,150122,78200,277752,-0.2
all,communications,163752,67861.3,272537,0.5
archaeology,communications,155333,73451.2,274095,0.1
arts,communications,180424,56345.7,274804,1.4
belief_and_identity,communications,160277,55467,251025,0.3
buildings,communications,161924,70143.5,272877,0.4
communications,communications,170652,41807.6,250355,0.9
food_and_drink,communications,170367,59908.7,278547,0.9
industry_and_manufacture,communications,152659,64442.5,263775,-0.1
leisure_and_sport,communications,185791,63292.7,281121,1.7
local_histories,communications,158481,74053.7,272828,0.2
medicine_and_health,communications,234447,38081.8,299866,4.3
mixed,communications,154566,71329.8,265752,0
natural_world,communications,167189,71941.4,277412,0.7
personality,communications,164533,58212.8,258666,0.6
rural_industry,communications,148453,85141.1,274266,-0.3
science_and_technology,communications,176628,75300.2,300375,1.2
sea_and_seafaring,communications,136049,68834.5,247800,-1
services,communications,176794,68698.7,275509,1.2
transport,communications,156226,75848.6,278099,0.1
utilities,communications,174825,76975.8,286071,1.1
war_and_conflict,communications,164530,74496.1,281193,0.6
all,food_and_drink,150682,73566.2,274754,-0.2
archaeology,food_and_drink,146486,78460.3,274889,-0.4
arts,food_and_drink,152523,66299.7,269339,-0.1
belief_and_identity,food_and_drink,142319,63190.2,254199,-0.6
buildings,food_and_drink,153282,76215.3,280592,-0
communications,food_and_drink,169436,59257.7,276796,0.8
food_and_drink,food_and_drink,141857,86152.5,280583,-0.7
industry_and_manufacture,food_and_drink,152075,73451.3,267997,-0.1
leisure_and_sport,food_and_drink,163565,71743.3,286671,0.5
local_histories,food_and_drink,150541,76974.9,276586,-0.2
medicine_and_health,food_and_drink,179872,55591.1,290268,1.4
mixed,food_and_drink,141160,74692.2,265240,-0.7
natural_world,food_and_drink,146323,77202.4,285333,-0.4
personality,food_and_drink,147254,67810.4,262718,-0.4
rural_industry,food_and_drink,141942,80056,270828,-0.7
science_and_technology,food_and_drink,164131,80983.7,298854,0.5
sea_and_seafaring,food_and_drink,121621,68117,240800,-1.7
services,food_and_drink,150568,69431.6,268162,-0.2
transport,food_and_drink,150444,78239.3,278902,-0.2
utilities,food_and_drink,167121,80275.6,301425,0.7
war_and_conflict,food_and_drink,148382,76057.1,279540,-0.3
all,industry_and_manufacture,149692,74112.2,271918,-0.2
archaeology,industry_and_manufacture,141401,76278.7,268800,-0.7
arts,industry_and_manufacture,162874,73561.8,283760,0.5
belief_and_identity,industry_and_manufacture,144191,69778.3,259439,-0.5
buildings,industry_and_manufacture,154534,78630.5,281806,0
communications,industry_and_manufacture,152382,63615.2,262443,-0.1
food_and_drink,industry_and_manufacture,151399,72933.7,266302,-0.1
industry_and_manufacture,industry_and_manufacture,181189,81936,303738,1.5
leisure_and_sport,industry_and_manufacture,157911,74898.8,277192,0.2
local_histories,industry_and_manufacture,138747,72663.9,260130,-0.8
medicine_and_health,industry_and_manufacture,143568,54619.1,252225,-0.6
mixed,industry_and_manufacture,163369,80592.8,288311,0.5
natural_world,industry_and_manufacture,126999,64565.5,243376,-1.5
personality,industry_and_manufacture,143284,70502.2,263899,-0.6
rural_industry,industry_and_manufacture,139571,75219.1,261553,-0.8
science_and_technology,industry_and_manufacture,160777,82396.9,300645,0.4
sea_and_seafaring,industry_and_manufacture,111361,60514.5,222248,-2.3
services,industry_and_manufacture,152228,69525.2,264162,-0.1
transport,industry_and_manufacture,156838,80409.3,288042,0.1
utilities,industry_and_manufacture,153461,78198.6,283315,-0
war_and_conflict,industry_and_manufacture,142303,73388,264373,-0.6
all,leisure_and_sport,161288,75133.7,281229,0.4
archaeology,leisure_and_sport,151821,80039,283273,-0.1
arts,leisure_and_sport,174358,69750.5,283165,1.1
belief_and_identity,leisure_and_sport,156997,66052.5,264783,0.2
buildings,leisure_and_sport,162083,76777.2,282914,0.4
communications,leisure_and_sport,184527,62081.1,279383,1.6
food_and_drink,leisure_and_sport,163512,71481.7,285623,0.5
industry_and_manufacture,leisure_and_sport,158264,75125.9,277206,0.2
leisure_and_sport,leisure_and_sport,174187,74116.5,286122,1.1
local_histories,leisure_and_sport,155006,78337.1,279342,0
medicine_and_health,leisure_and_sport,211253,60572.8,298845,3.1
mixed,leisure_and_sport,160702,75947.4,277471,0.4
natural_world,leisure_and_sport,163274,74528.2,285405,0.5
personality,leisure_and_sport,159550,69598.1,272242,0.3
rural_industry,leisure_and_sport,153246,81889.2,280860,-0
science_and_technology,leisure_and_sport,177192,83729,317537,1.2
sea_and_seafaring,leisure_and_sport,126986,67217.9,243832,-1.5
services,leisure_and_sport,173878,73535,281536,1.1
transport,leisure_and_sport,159222,80703.3,288382,0.3
utilities,leisure_and_sport,172223,82276,305367,1
war_and_conflict,leisure_and_sport,162108,79137.7,288529,0.4
all,local_histories,143947,74441.6,265179,-0.5
archaeology,local_histories,140080,75482.2,262624,-0.8
arts,local_histories,147995,73502.8,265522,-0.3
belief_and_identity,local_histories,135755,68659.4,247752,-1
buildings,local_histories,144237,75698.9,266707,-0.5
communications,local_histories,156522,72066.7,267987,0.1
food_and_drink,local_histories,149588,76219.3,273868,-0.2
industry_and_manufacture,local_histories,138644,72418.8,258203,-0.8
leisure_and_sport,local_histories,153959,77344.6,276792,-0
local_histories,local_histories,141996,75614.9,264430,-0.7
medicine_and_health,local_histories,173234,76720.4,290483,1
mixed,local_histories,139345,73982.9,258524,-0.8
natural_world,local_histories,147850,77081.9,273735,-0.3
personality,local_histories,141813,72317.7,258373,-0.7
rural_industry,local_histories,141596,76232.8,265894,-0.7
science_and_technology,local_histories,155886,82505.1,287908,0.1
sea_and_seafaring,local_histories,121720,64887.7,232477,-1.7
services,local_histories,148565,75777.6,269754,-0.3
transport,local_histories,143603,76312.2,269189,-0.6
utilities,local_histories,155443,82208.7,289243,0.1
war_and_conflict,local_histories,145642,76866.3,271727,-0.5
all,medicine_and_health,182921,69755.5,294373,1.5
archaeology,medicine_and_health,173803,82103.8,306796,1.1
arts,medicine_and_health,203815,54316,292426,2.7
belief_and_identity,medicine_and_health,181533,54080.4,274421,1.5
buildings,medicine_and_health,179044,70306.6,289291,1.3
communications,medicine_and_health,234614,38150.8,298467,4.3
food_and_drink,medicine_and_health,181335,56827.9,296453,1.5
industry_and_manufacture,medicine_and_health,144660,55722.6,254540,-0.5
leisure_and_sport,medicine_and_health,213235,62536.6,303169,3.2
local_histories,medicine_and_health,176116,79537.6,298098,1.2
medicine_and_health,medicine_and_health,280006,39469.5,333459,6.8
mixed,medicine_and_health,167027,71958.5,276979,0.7
natural_world,medicine_and_health,199867,79041.2,316574,2.5
personality,medicine_and_health,189502,58516.5,284769,1.9
rural_industry,medicine_and_health,167335,93794.8,302336,0.7
science_and_technology,medicine_and_health,204200,83257.7,342480,2.7
sea_and_seafaring,medicine_and_health,146072,71876.8,265853,-0.4
services,medicine_and_health,202810,70185.3,301862,2.6
transport,medicine_and_health,170843,77688.8,293701,0.9
utilities,medicine_and_health,198289,81933.5,320955,2.4
war_and_conflict,medicine_and_health,188794,81321.1,314382,1.9
all,mixed,149826,75402,271291,-0.2
archaeology,mixed,144714,77114.7,273673,-0.5
