mark1,mark2,avg_L,sdev_L,max_L,avg_LZ
all,all,147036,74448.1,268500,-0.1
archaeology,all,144854,75422.1,269132,0.1
arts,all,156797,72046.4,273854,-0.9
belief_and_identity,all,143123,67710.4,254976,0.2
buildings,all,149739,75471.7,271942,-0.3
industry_and_manufacture,all,149818,74379.9,271108,-0.3
leisure_and_sport,all,159231,74835.8,278881,-1
local_histories,all,143281,74412.1,264860,0.2
mixed,all,149252,75213.3,269873,-0.3
personality,all,146511,70484.1,262708,-0.1
rural_industry,all,143718,76435.6,268067,0.1
sea_and_seafaring,all,122521,63248.4,233351,1.8
transport,all,149354,77211.6,276076,-0.3
war_and_conflict,all,149522,75773.7,274345,-0.3
all,archaeology,145128,75802.9,271034,0
archaeology,archaeology,148065,74118.7,271298,-0.2
arts,archaeology,150998,76807.8,280251,-0.4
belief_and_identity,archaeology,141531,69628.5,258649,0.3
buildings,archaeology,147506,77897.2,275087,-0.1
industry_and_manufacture,archaeology,141463,76266.2,268015,0.3
leisure_and_sport,archaeology,151260,79543.2,283035,-0.4
local_histories,archaeology,140633,76182.6,265714,0.4
mixed,archaeology,144658,77166,274333,0.1
personality,archaeology,145609,74448.8,268377,0
rural_industry,archaeology,141857,77671.7,269491,0.3
sea_and_seafaring,archaeology,117747,62872.1,228625,2.1
transport,archaeology,147177,78814.1,277305,-0.1
war_and_conflict,archaeology,148987,77224.8,277197,-0.3
all,arts,157486,72696.4,275463,-0.9
archaeology,arts,151679,77414.6,280676,-0.5
arts,arts,173364,66879.8,283202,-2.1
belief_and_identity,arts,157300,65171.3,264767,-0.9
buildings,arts,159640,74807.1,278757,-1.1
industry_and_manufacture,arts,163055,73674.7,283411,-1.3
leisure_and_sport,arts,174632,70094.5,283947,-2.2
local_histories,arts,148935,74382.8,268210,-0.3
mixed,arts,162158,76074.2,281352,-1.3
personality,arts,158762,67119.8,270265,-1
rural_industry,arts,147013,80100,271570,-0.1
sea_and_seafaring,arts,126289,63658.9,237349,1.5
transport,arts,157749,78357.7,284352,-0.9
war_and_conflict,arts,157868,75468.1,280514,-0.9
all,belief_and_identity,143531,68081.3,256071,0.2
archaeology,belief_and_identity,141798,69856.3,258582,0.3
arts,belief_and_identity,156912,64800.2,264069,-0.9
belief_and_identity,belief_and_identity,140472,63282.5,248496,0.4
buildings,belief_and_identity,145010,69726.8,258463,0
industry_and_manufacture,belief_and_identity,144430,69881.4,258939,0.1
leisure_and_sport,belief_and_identity,156751,65748.7,264084,-0.9
local_histories,belief_and_identity,136421,69286.7,249871,0.7
mixed,belief_and_identity,148006,71231.9,262127,-0.2
personality,belief_and_identity,144413,64164.6,253426,0.1
rural_industry,belief_and_identity,135403,73137.3,253715,0.8
